115,0
x,y,dx,dy,x_c,y_c
334.11,250.28,82.63,82.63,375.42,291.60
334.11,250.28,82.63,82.63,375.42,291.60
317.34,233.52,82.63,82.63,358.66,274.83
350.87,250.28,82.63,82.63,392.19,291.60
366.44,250.28,82.63,82.63,407.75,291.60
334.11,216.75,82.63,82.63,375.42,258.07
334.11,183.22,82.63,82.63,375.42,224.53
317.34,149.69,82.63,82.63,358.66,191.00
317.34,132.92,82.63,82.63,358.66,174.24
267.05,132.92,82.63,82.63,308.36,174.24
267.05,132.92,82.63,82.63,308.36,174.24
267.05,149.69,82.63,82.63,308.36,191.00
250.28,117.36,82.63,82.63,291.60,158.67
250.28,117.36,82.63,82.63,291.60,158.67
233.52,117.36,82.63,82.63,274.83,158.67
199.99,83.83,82.63,82.63,241.30,125.14
216.75,67.06,82.63,82.63,258.07,108.38
233.52,50.30,82.63,82.63,274.83,91.61
250.28,67.06,82.63,82.63,291.60,108.38
267.05,67.06,82.63,82.63,308.36,108.38
366.44,132.92,82.63,82.63,407.75,174.24
383.21,132.92,82.63,82.63,424.52,174.24
399.97,132.92,82.63,82.63,441.29,174.24
383.21,117.36,82.63,82.63,424.52,158.67
399.97,117.36,82.63,82.63,441.29,158.67
399.97,117.36,82.63,82.63,441.29,158.67
433.50,83.83,82.63,82.63,474.82,125.14
416.74,67.06,82.63,82.63,458.05,108.38
399.97,50.30,82.63,82.63,441.29,91.61
366.44,50.30,82.63,82.63,407.75,91.61
334.11,67.06,82.63,82.63,375.42,108.38
334.11,267.05,82.63,82.63,375.42,308.36
317.34,267.05,82.63,82.63,358.66,308.36
300.58,283.81,82.63,82.63,341.89,325.13
283.81,317.34,82.63,82.63,325.13,358.66
300.58,317.34,82.63,82.63,341.89,358.66
317.34,283.81,82.63,82.63,358.66,325.13
334.11,283.81,82.63,82.63,375.42,325.13
366.44,250.28,82.63,82.63,407.75,291.60
383.21,267.05,82.63,82.63,424.52,308.36
399.97,283.81,82.63,82.63,441.29,325.13
383.21,283.81,82.63,82.63,424.52,325.13
366.44,283.81,82.63,82.63,407.75,325.13
383.21,317.34,82.63,82.63,424.52,358.66
366.44,300.58,82.63,82.63,407.75,341.89
366.44,334.11,82.63,82.63,407.75,375.42
334.11,317.34,82.63,82.63,375.42,358.66
300.58,334.11,82.63,82.63,341.89,375.42
300.58,300.58,82.63,82.63,341.89,341.89
283.81,317.34,82.63,82.63,325.13,358.66
334.11,334.11,82.63,82.63,375.42,375.42
334.11,416.74,82.63,82.63,375.42,458.05
300.58,416.74,82.63,82.63,341.89,458.05
267.05,383.21,82.63,82.63,308.36,424.52
233.52,366.44,82.63,82.63,274.83,407.75
216.75,334.11,82.63,82.63,258.07,375.42
199.99,283.81,82.63,82.63,241.30,325.13
199.99,250.28,82.63,82.63,241.30,291.60
199.99,199.99,82.63,82.63,241.30,241.30
199.99,166.46,82.63,82.63,241.30,207.77
383.21,416.74,82.63,82.63,424.52,458.05
416.74,399.97,82.63,82.63,458.05,441.29
450.27,383.21,82.63,82.63,491.58,424.52
467.03,334.11,82.63,82.63,508.35,375.42
483.80,300.58,82.63,82.63,525.11,341.89
483.80,267.05,82.63,82.63,525.11,308.36
500.56,216.75,82.63,82.63,541.88,258.07
483.80,183.22,82.63,82.63,525.11,224.53
