193,15
x,y,dx,dy,x_c,y_c
243.48,319.90,75.34,75.34,281.14,357.57
243.48,319.90,75.34,75.34,281.14,357.57
228.19,319.90,75.34,75.34,265.86,357.57
258.76,319.90,75.34,75.34,296.43,357.57
274.05,319.90,75.34,75.34,311.71,357.57
228.19,289.33,75.34,75.34,265.86,327.00
228.19,274.05,75.34,75.34,265.86,311.71
228.19,243.48,75.34,75.34,265.86,281.14
243.48,197.62,75.34,75.34,281.14,235.29
197.62,197.62,75.34,75.34,235.29,235.29
197.62,197.62,75.34,75.34,235.29,235.29
182.33,197.62,75.34,75.34,220.00,235.29
197.62,182.33,75.34,75.34,235.29,220.00
182.33,182.33,75.34,75.34,220.00,220.00
167.05,197.62,75.34,75.34,204.72,235.29
136.48,151.76,75.34,75.34,174.14,189.43
151.76,136.48,75.34,75.34,189.43,174.14
167.05,136.48,75.34,75.34,204.72,174.14
182.33,136.48,75.34,75.34,220.00,174.14
197.62,151.76,75.34,75.34,235.29,189.43
289.33,197.62,75.34,75.34,327.00,235.29
304.62,197.62,75.34,75.34,342.28,235.29
319.90,197.62,75.34,75.34,357.57,235.29
304.62,182.33,75.34,75.34,342.28,220.00
319.90,182.33,75.34,75.34,357.57,220.00
334.10,197.62,75.34,75.34,371.76,235.29
364.67,167.05,75.34,75.34,402.33,204.72
349.38,136.48,75.34,75.34,387.05,174.14
319.90,136.48,75.34,75.34,357.57,174.14
304.62,136.48,75.34,75.34,342.28,174.14
274.05,136.48,75.34,75.34,311.71,174.14
228.19,334.10,75.34,75.34,265.86,371.76
228.19,334.10,75.34,75.34,265.86,371.76
212.90,334.10,75.34,75.34,250.57,371.76
197.62,349.38,75.34,75.34,235.29,387.05
212.90,349.38,75.34,75.34,250.57,387.05
228.19,349.38,75.34,75.34,265.86,387.05
228.19,349.38,75.34,75.34,265.86,387.05
274.05,334.10,75.34,75.34,311.71,371.76
289.33,334.10,75.34,75.34,327.00,371.76
304.62,349.38,75.34,75.34,342.28,387.05
289.33,349.38,75.34,75.34,327.00,387.05
274.05,349.38,75.34,75.34,311.71,387.05
289.33,379.95,75.34,75.34,327.00,417.62
274.05,349.38,75.34,75.34,311.71,387.05
274.05,364.67,75.34,75.34,311.71,402.33
243.48,349.38,75.34,75.34,281.14,387.05
228.19,379.95,75.34,75.34,265.86,417.62
228.19,349.38,75.34,75.34,265.86,387.05
212.90,364.67,75.34,75.34,250.57,402.33
243.48,379.95,75.34,75.34,281.14,417.62
243.48,456.38,75.34,75.34,281.14,494.05
212.90,456.38,75.34,75.34,250.57,494.05
197.62,441.09,75.34,75.34,235.29,478.76
182.33,410.52,75.34,75.34,220.00,448.19
167.05,379.95,75.34,75.34,204.72,417.62
167.05,349.38,75.34,75.34,204.72,387.05
151.76,319.90,75.34,75.34,189.43,357.57
151.76,289.33,75.34,75.34,189.43,327.00
151.76,258.76,75.34,75.34,189.43,296.43
289.33,441.09,75.34,75.34,327.00,478.76
319.90,425.81,75.34,75.34,357.57,463.48
349.38,410.52,75.34,75.34,387.05,448.19
364.67,379.95,75.34,75.34,402.33,417.62
395.24,349.38,75.34,75.34,432.91,387.05
395.24,319.90,75.34,75.34,432.91,357.57
410.52,274.05,75.34,75.34,448.19,311.71
410.52,243.48,75.34,75.34,448.19,281.14
