105,0
x,y,dx,dy,x_c,y_c
209.00,251.00,69.00,69.00,243.50,285.50
209.00,251.00,69.00,69.00,243.50,285.50
195.00,251.00,69.00,69.00,229.50,285.50
223.00,251.00,69.00,69.00,257.50,285.50
237.00,251.00,69.00,69.00,271.50,285.50
209.00,223.00,69.00,69.00,243.50,257.50
209.00,209.00,69.00,69.00,243.50,243.50
209.00,181.00,69.00,69.00,243.50,215.50
209.00,167.00,69.00,69.00,243.50,201.50
167.00,167.00,69.00,69.00,201.50,201.50
153.00,167.00,69.00,69.00,187.50,201.50
153.00,167.00,69.00,69.00,187.50,201.50
153.00,167.00,69.00,69.00,187.50,201.50
153.00,167.00,69.00,69.00,187.50,201.50
139.00,167.00,69.00,69.00,173.50,201.50
111.00,139.00,69.00,69.00,145.50,173.50
125.00,139.00,69.00,69.00,159.50,173.50
139.00,139.00,69.00,69.00,173.50,173.50
167.00,139.00,69.00,69.00,201.50,173.50
181.00,153.00,69.00,69.00,215.50,187.50
237.00,167.00,69.00,69.00,271.50,201.50
251.00,167.00,69.00,69.00,285.50,201.50
251.00,167.00,69.00,69.00,285.50,201.50
251.00,167.00,69.00,69.00,285.50,201.50
251.00,167.00,69.00,69.00,285.50,201.50
265.00,167.00,69.00,69.00,299.50,201.50
293.00,139.00,69.00,69.00,327.50,173.50
279.00,139.00,69.00,69.00,313.50,173.50
265.00,139.00,69.00,69.00,299.50,173.50
251.00,139.00,69.00,69.00,285.50,173.50
223.00,139.00,69.00,69.00,257.50,173.50
209.00,265.00,69.00,69.00,243.50,299.50
195.00,279.00,69.00,69.00,229.50,313.50
181.00,293.00,69.00,69.00,215.50,327.50
181.00,306.00,69.00,69.00,215.50,340.50
181.00,306.00,69.00,69.00,215.50,340.50
195.00,279.00,69.00,69.00,229.50,313.50
209.00,279.00,69.00,69.00,243.50,313.50
237.00,251.00,69.00,69.00,271.50,285.50
251.00,265.00,69.00,69.00,285.50,299.50
265.00,265.00,69.00,69.00,299.50,299.50
251.00,279.00,69.00,69.00,285.50,313.50
251.00,265.00,69.00,69.00,285.50,299.50
265.00,279.00,69.00,69.00,299.50,313.50
251.00,265.00,69.00,69.00,285.50,299.50
251.00,279.00,69.00,69.00,285.50,313.50
223.00,265.00,69.00,69.00,257.50,299.50
195.00,279.00,69.00,69.00,229.50,313.50
195.00,251.00,69.00,69.00,229.50,285.50
181.00,251.00,69.00,69.00,215.50,285.50
223.00,279.00,69.00,69.00,257.50,313.50
237.00,348.00,69.00,69.00,271.50,382.50
209.00,334.00,69.00,69.00,243.50,368.50
181.00,293.00,69.00,69.00,215.50,327.50
153.00,251.00,69.00,69.00,187.50,285.50
125.00,223.00,69.00,69.00,159.50,257.50
111.00,181.00,69.00,69.00,145.50,215.50
111.00,139.00,69.00,69.00,145.50,173.50
98.00,98.00,69.00,69.00,132.50,132.50
98.00,70.00,69.00,69.00,132.50,104.50
265.00,334.00,69.00,69.00,299.50,368.50
293.00,320.00,69.00,69.00,327.50,354.50
320.00,306.00,69.00,69.00,354.50,340.50
334.00,279.00,69.00,69.00,368.50,313.50
334.00,251.00,69.00,69.00,368.50,285.50
334.00,223.00,69.00,69.00,368.50,257.50
348.00,181.00,69.00,69.00,382.50,215.50
348.00,139.00,69.00,69.00,382.50,173.50
