94,0
x,y,dx,dy,x_c,y_c
190.00,211.00,52.00,52.00,216.00,237.00
190.00,211.00,52.00,52.00,216.00,237.00
179.00,201.00,52.00,52.00,205.00,227.00
201.00,211.00,52.00,52.00,227.00,237.00
211.00,211.00,52.00,52.00,237.00,237.00
190.00,201.00,52.00,52.00,216.00,227.00
190.00,190.00,52.00,52.00,216.00,216.00
190.00,169.00,52.00,52.00,216.00,195.00
190.00,158.00,52.00,52.00,216.00,184.00
158.00,158.00,52.00,52.00,184.00,184.00
148.00,158.00,52.00,52.00,174.00,184.00
137.00,158.00,52.00,52.00,163.00,184.00
148.00,148.00,52.00,52.00,174.00,174.00
137.00,148.00,52.00,52.00,163.00,174.00
127.00,148.00,52.00,52.00,153.00,174.00
106.00,127.00,52.00,52.00,132.00,153.00
116.00,116.00,52.00,52.00,142.00,142.00
127.00,116.00,52.00,52.00,153.00,142.00
148.00,127.00,52.00,52.00,174.00,153.00
158.00,137.00,52.00,52.00,184.00,163.00
222.00,158.00,52.00,52.00,248.00,184.00
232.00,158.00,52.00,52.00,258.00,184.00
243.00,158.00,52.00,52.00,269.00,184.00
232.00,158.00,52.00,52.00,258.00,184.00
243.00,158.00,52.00,52.00,269.00,184.00
253.00,158.00,52.00,52.00,279.00,184.00
274.00,137.00,52.00,52.00,300.00,163.00
264.00,137.00,52.00,52.00,290.00,163.00
243.00,137.00,52.00,52.00,269.00,163.00
232.00,137.00,52.00,52.00,258.00,163.00
211.00,137.00,52.00,52.00,237.00,163.00
190.00,222.00,52.00,52.00,216.00,248.00
179.00,222.00,52.00,52.00,205.00,248.00
169.00,232.00,52.00,52.00,195.00,258.00
169.00,253.00,52.00,52.00,195.00,279.00
169.00,243.00,52.00,52.00,195.00,269.00
179.00,232.00,52.00,52.00,205.00,258.00
190.00,232.00,52.00,52.00,216.00,258.00
211.00,222.00,52.00,52.00,237.00,248.00
222.00,232.00,52.00,52.00,248.00,258.00
232.00,243.00,52.00,52.00,258.00,269.00
222.00,243.00,52.00,52.00,248.00,269.00
211.00,232.00,52.00,52.00,237.00,258.00
222.00,264.00,52.00,52.00,248.00,290.00
201.00,253.00,52.00,52.00,227.00,279.00
201.00,264.00,52.00,52.00,227.00,290.00
179.00,253.00,52.00,52.00,205.00,279.00
158.00,264.00,52.00,52.00,184.00,290.00
169.00,243.00,52.00,52.00,195.00,269.00
158.00,253.00,52.00,52.00,184.00,279.00
179.00,264.00,52.00,52.00,205.00,290.00
190.00,306.00,52.00,52.00,216.00,332.00
158.00,296.00,52.00,52.00,184.00,322.00
137.00,285.00,52.00,52.00,163.00,311.00
116.00,264.00,52.00,52.00,142.00,290.00
95.00,243.00,52.00,52.00,121.00,269.00
84.00,211.00,52.00,52.00,110.00,237.00
84.00,190.00,52.00,52.00,110.00,216.00
74.00,158.00,52.00,52.00,100.00,184.00
74.00,127.00,52.00,52.00,100.00,153.00
211.00,296.00,52.00,52.00,237.00,322.00
232.00,274.00,52.00,52.00,258.00,300.00
243.00,253.00,52.00,52.00,269.00,279.00
253.00,222.00,52.00,52.00,279.00,248.00
264.00,190.00,52.00,52.00,290.00,216.00
274.00,158.00,52.00,52.00,300.00,184.00
274.00,127.00,52.00,52.00,300.00,153.00
274.00,95.00,52.00,52.00,300.00,121.00
