119,30
x,y,dx,dy,x_c,y_c
227.29,279.74,86.33,86.33,270.45,322.90
227.29,262.25,86.33,86.33,270.45,305.42
209.80,262.25,86.33,86.33,252.97,305.42
244.77,297.22,86.33,86.33,287.93,340.38
262.25,297.22,86.33,86.33,305.42,340.38
209.80,244.77,86.33,86.33,252.97,287.93
209.80,227.29,86.33,86.33,252.97,270.45
227.29,192.32,86.33,86.33,270.45,235.48
227.29,174.84,86.33,86.33,270.45,218.00
174.84,174.84,86.33,86.33,218.00,218.00
157.35,192.32,86.33,86.33,200.52,235.48
139.87,192.32,86.33,86.33,183.03,235.48
157.35,174.84,86.33,86.33,200.52,218.00
157.35,174.84,86.33,86.33,200.52,218.00
157.35,192.32,86.33,86.33,200.52,235.48
139.87,139.87,86.33,86.33,183.03,183.03
139.87,139.87,86.33,86.33,183.03,183.03
157.35,122.39,86.33,86.33,200.52,165.55
174.84,139.87,86.33,86.33,218.00,183.03
174.84,139.87,86.33,86.33,218.00,183.03
279.74,174.84,86.33,86.33,322.90,218.00
297.22,192.32,86.33,86.33,340.38,235.48
314.71,192.32,86.33,86.33,357.87,235.48
297.22,174.84,86.33,86.33,340.38,218.00
314.71,174.84,86.33,86.33,357.87,218.00
314.71,174.84,86.33,86.33,357.87,218.00
367.16,139.87,86.33,86.33,410.32,183.03
349.67,139.87,86.33,86.33,392.83,183.03
314.71,139.87,86.33,86.33,357.87,183.03
279.74,139.87,86.33,86.33,322.90,183.03
244.77,139.87,86.33,86.33,287.93,183.03
227.29,297.22,86.33,86.33,270.45,340.38
209.80,297.22,86.33,86.33,252.97,340.38
192.32,297.22,86.33,86.33,235.48,340.38
192.32,314.71,86.33,86.33,235.48,357.87
192.32,314.71,86.33,86.33,235.48,357.87
209.80,297.22,86.33,86.33,252.97,340.38
227.29,297.22,86.33,86.33,270.45,340.38
262.25,297.22,86.33,86.33,305.42,340.38
279.74,314.71,86.33,86.33,322.90,357.87
297.22,314.71,86.33,86.33,340.38,357.87
262.25,332.19,86.33,86.33,305.42,375.35
244.77,314.71,86.33,86.33,287.93,357.87
279.74,332.19,86.33,86.33,322.90,375.35
244.77,297.22,86.33,86.33,287.93,340.38
262.25,332.19,86.33,86.33,305.42,375.35
227.29,314.71,86.33,86.33,270.45,357.87
209.80,332.19,86.33,86.33,252.97,375.35
209.80,297.22,86.33,86.33,252.97,340.38
192.32,314.71,86.33,86.33,235.48,357.87
227.29,332.19,86.33,86.33,270.45,375.35
227.29,419.61,86.33,86.33,270.45,462.77
227.29,402.12,86.33,86.33,270.45,445.29
209.80,384.64,86.33,86.33,252.97,427.80
209.80,367.16,86.33,86.33,252.97,410.32
192.32,349.67,86.33,86.33,235.48,392.83
192.32,314.71,86.33,86.33,235.48,357.87
192.32,279.74,86.33,86.33,235.48,322.90
192.32,244.77,86.33,86.33,235.48,287.93
192.32,227.29,86.33,86.33,235.48,270.45
262.25,402.12,86.33,86.33,305.42,445.29
314.71,384.64,86.33,86.33,357.87,427.80
349.67,349.67,86.33,86.33,392.83,392.83
384.64,314.71,86.33,86.33,427.80,357.87
402.12,279.74,86.33,86.33,445.29,322.90
419.61,227.29,86.33,86.33,462.77,270.45
419.61,174.84,86.33,86.33,462.77,218.00
419.61,139.87,86.33,86.33,462.77,183.03
