163,0
x,y,dx,dy,x_c,y_c
195.00,279.00,69.00,69.00,229.50,313.50
181.00,279.00,69.00,69.00,215.50,313.50
167.00,279.00,69.00,69.00,201.50,313.50
209.00,279.00,69.00,69.00,243.50,313.50
223.00,279.00,69.00,69.00,257.50,313.50
195.00,251.00,69.00,69.00,229.50,285.50
195.00,223.00,69.00,69.00,229.50,257.50
195.00,195.00,69.00,69.00,229.50,229.50
195.00,181.00,69.00,69.00,229.50,215.50
153.00,181.00,69.00,69.00,187.50,215.50
153.00,181.00,69.00,69.00,187.50,215.50
139.00,195.00,69.00,69.00,173.50,229.50
139.00,181.00,69.00,69.00,173.50,215.50
139.00,181.00,69.00,69.00,173.50,215.50
125.00,195.00,69.00,69.00,159.50,229.50
98.00,167.00,69.00,69.00,132.50,201.50
111.00,153.00,69.00,69.00,145.50,187.50
125.00,139.00,69.00,69.00,159.50,173.50
153.00,139.00,69.00,69.00,187.50,173.50
167.00,139.00,69.00,69.00,201.50,173.50
237.00,181.00,69.00,69.00,271.50,215.50
251.00,181.00,69.00,69.00,285.50,215.50
265.00,181.00,69.00,69.00,299.50,215.50
251.00,181.00,69.00,69.00,285.50,215.50
265.00,181.00,69.00,69.00,299.50,215.50
279.00,181.00,69.00,69.00,313.50,215.50
306.00,153.00,69.00,69.00,340.50,187.50
293.00,139.00,69.00,69.00,327.50,173.50
265.00,139.00,69.00,69.00,299.50,173.50
237.00,139.00,69.00,69.00,271.50,173.50
209.00,139.00,69.00,69.00,243.50,173.50
195.00,306.00,69.00,69.00,229.50,340.50
181.00,306.00,69.00,69.00,215.50,340.50
167.00,306.00,69.00,69.00,201.50,340.50
153.00,334.00,69.00,69.00,187.50,368.50
153.00,320.00,69.00,69.00,187.50,354.50
167.00,320.00,69.00,69.00,201.50,354.50
195.00,320.00,69.00,69.00,229.50,354.50
223.00,293.00,69.00,69.00,257.50,327.50
251.00,306.00,69.00,69.00,285.50,340.50
265.00,306.00,69.00,69.00,299.50,340.50
251.00,306.00,69.00,69.00,285.50,340.50
223.00,306.00,69.00,69.00,257.50,340.50
251.00,334.00,69.00,69.00,285.50,368.50
223.00,320.00,69.00,69.00,257.50,354.50
223.00,334.00,69.00,69.00,257.50,368.50
195.00,320.00,69.00,69.00,229.50,354.50
167.00,334.00,69.00,69.00,201.50,368.50
167.00,320.00,69.00,69.00,201.50,354.50
153.00,334.00,69.00,69.00,187.50,368.50
209.00,334.00,69.00,69.00,243.50,368.50
223.00,404.00,69.00,69.00,257.50,438.50
195.00,404.00,69.00,69.00,229.50,438.50
181.00,390.00,69.00,69.00,215.50,424.50
153.00,348.00,69.00,69.00,187.50,382.50
125.00,320.00,69.00,69.00,159.50,354.50
111.00,279.00,69.00,69.00,145.50,313.50
111.00,237.00,69.00,69.00,145.50,271.50
98.00,181.00,69.00,69.00,132.50,215.50
98.00,139.00,69.00,69.00,132.50,173.50
251.00,390.00,69.00,69.00,285.50,424.50
279.00,376.00,69.00,69.00,313.50,410.50
320.00,362.00,69.00,69.00,354.50,396.50
334.00,334.00,69.00,69.00,368.50,368.50
348.00,306.00,69.00,69.00,382.50,340.50
362.00,279.00,69.00,69.00,396.50,313.50
376.00,237.00,69.00,69.00,410.50,271.50
376.00,209.00,69.00,69.00,410.50,243.50
