81,0
x,y,dx,dy,x_c,y_c
448.72,157.22,59.68,59.68,478.56,187.06
448.72,157.22,59.68,59.68,478.56,187.06
436.09,157.22,59.68,59.68,465.93,187.06
460.19,145.75,59.68,59.68,490.03,175.59
460.19,145.75,59.68,59.68,490.03,175.59
448.72,133.12,59.68,59.68,478.56,162.96
448.72,121.65,59.68,59.68,478.56,151.49
448.72,96.40,59.68,59.68,478.56,126.24
436.09,84.92,59.68,59.68,465.93,114.76
399.37,96.40,59.68,59.68,429.21,126.24
387.89,96.40,59.68,59.68,417.73,126.24
387.89,96.40,59.68,59.68,417.73,126.24
387.89,84.92,59.68,59.68,417.73,114.76
387.89,84.92,59.68,59.68,417.73,114.76
375.27,96.40,59.68,59.68,405.11,126.24
351.17,72.30,59.68,59.68,381.01,102.14
363.79,60.82,59.68,59.68,393.63,90.66
375.27,48.20,59.68,59.68,405.11,78.04
399.37,60.82,59.68,59.68,429.21,90.66
411.99,72.30,59.68,59.68,441.83,102.14
460.19,84.92,59.68,59.68,490.03,114.76
472.82,96.40,59.68,59.68,502.66,126.24
484.29,96.40,59.68,59.68,514.13,126.24
472.82,84.92,59.68,59.68,502.66,114.76
484.29,84.92,59.68,59.68,514.13,114.76
496.92,96.40,59.68,59.68,526.76,126.24
521.02,72.30,59.68,59.68,550.86,102.14
508.39,72.30,59.68,59.68,538.23,102.14
496.92,60.82,59.68,59.68,526.76,90.66
472.82,60.82,59.68,59.68,502.66,90.66
448.72,60.82,59.68,59.68,478.56,90.66
448.72,169.85,59.68,59.68,478.56,199.69
436.09,169.85,59.68,59.68,465.93,199.69
423.47,181.32,59.68,59.68,453.31,211.16
411.99,193.95,59.68,59.68,441.83,223.79
423.47,193.95,59.68,59.68,453.31,223.79
436.09,181.32,59.68,59.68,465.93,211.16
448.72,181.32,59.68,59.68,478.56,211.16
472.82,157.22,59.68,59.68,502.66,187.06
484.29,169.85,59.68,59.68,514.13,199.69
496.92,181.32,59.68,59.68,526.76,211.16
484.29,181.32,59.68,59.68,514.13,211.16
484.29,169.85,59.68,59.68,514.13,199.69
484.29,193.95,59.68,59.68,514.13,223.79
472.82,181.32,59.68,59.68,502.66,211.16
472.82,193.95,59.68,59.68,502.66,223.79
448.72,181.32,59.68,59.68,478.56,211.16
436.09,193.95,59.68,59.68,465.93,223.79
436.09,181.32,59.68,59.68,465.93,211.16
423.47,193.95,59.68,59.68,453.31,223.79
448.72,193.95,59.68,59.68,478.56,223.79
448.72,254.77,59.68,59.68,478.56,284.61
423.47,242.15,59.68,59.68,453.31,271.99
399.37,218.05,59.68,59.68,429.21,247.89
375.27,181.32,59.68,59.68,405.11,211.16
363.79,157.22,59.68,59.68,393.63,187.06
351.17,121.65,59.68,59.68,381.01,151.49
351.17,96.40,59.68,59.68,381.01,126.24
339.69,60.82,59.68,59.68,369.53,90.66
339.69,24.10,59.68,59.68,369.53,53.94
472.82,254.77,59.68,59.68,502.66,284.61
496.92,242.15,59.68,59.68,526.76,271.99
508.39,230.67,59.68,59.68,538.23,260.51
521.02,205.42,59.68,59.68,550.86,235.26
521.02,193.95,59.68,59.68,550.86,223.79
521.02,169.85,59.68,59.68,550.86,199.69
521.02,133.12,59.68,59.68,550.86,162.96
508.39,109.02,59.68,59.68,538.23,138.86
