77,0
x,y,dx,dy,x_c,y_c
267.51,333.56,66.05,66.05,300.54,366.59
267.51,333.56,66.05,66.05,300.54,366.59
253.20,333.56,66.05,66.05,286.22,366.59
280.72,333.56,66.05,66.05,313.75,366.59
293.93,333.56,66.05,66.05,326.96,366.59
267.51,307.14,66.05,66.05,300.54,340.17
267.51,280.72,66.05,66.05,300.54,313.75
267.51,253.20,66.05,66.05,300.54,286.22
267.51,239.99,66.05,66.05,300.54,273.01
226.78,239.99,66.05,66.05,259.80,273.01
226.78,239.99,66.05,66.05,259.80,273.01
226.78,239.99,66.05,66.05,259.80,273.01
213.57,226.78,66.05,66.05,246.59,259.80
213.57,226.78,66.05,66.05,246.59,259.80
200.36,226.78,66.05,66.05,233.38,259.80
173.94,200.36,66.05,66.05,206.96,233.38
187.15,187.15,66.05,66.05,220.17,220.17
200.36,173.94,66.05,66.05,233.38,206.96
213.57,187.15,66.05,66.05,246.59,220.17
226.78,187.15,66.05,66.05,259.80,220.17
307.14,226.78,66.05,66.05,340.17,259.80
320.35,226.78,66.05,66.05,353.38,259.80
333.56,226.78,66.05,66.05,366.59,259.80
320.35,226.78,66.05,66.05,353.38,259.80
333.56,226.78,66.05,66.05,366.59,259.80
346.77,226.78,66.05,66.05,379.80,259.80
374.29,200.36,66.05,66.05,407.32,233.38
374.29,200.36,66.05,66.05,407.32,233.38
346.77,200.36,66.05,66.05,379.80,233.38
320.35,200.36,66.05,66.05,353.38,233.38
293.93,200.36,66.05,66.05,326.96,233.38
267.51,346.77,66.05,66.05,300.54,379.80
253.20,333.56,66.05,66.05,286.22,366.59
239.99,333.56,66.05,66.05,273.01,366.59
239.99,346.77,66.05,66.05,273.01,379.80
239.99,346.77,66.05,66.05,273.01,379.80
253.20,346.77,66.05,66.05,286.22,379.80
267.51,359.98,66.05,66.05,300.54,393.01
293.93,346.77,66.05,66.05,326.96,379.80
307.14,359.98,66.05,66.05,340.17,393.01
320.35,359.98,66.05,66.05,353.38,393.01
307.14,374.29,66.05,66.05,340.17,407.32
293.93,359.98,66.05,66.05,326.96,393.01
320.35,374.29,66.05,66.05,353.38,407.32
307.14,359.98,66.05,66.05,340.17,393.01
307.14,374.29,66.05,66.05,340.17,407.32
280.72,359.98,66.05,66.05,313.75,393.01
253.20,374.29,66.05,66.05,286.22,407.32
239.99,346.77,66.05,66.05,273.01,379.80
226.78,359.98,66.05,66.05,259.80,393.01
293.93,374.29,66.05,66.05,326.96,407.32
307.14,427.14,66.05,66.05,340.17,460.16
280.72,413.92,66.05,66.05,313.75,446.95
253.20,387.50,66.05,66.05,286.22,420.53
226.78,359.98,66.05,66.05,259.80,393.01
200.36,333.56,66.05,66.05,233.38,366.59
187.15,307.14,66.05,66.05,220.17,340.17
173.94,280.72,66.05,66.05,206.96,313.75
160.73,239.99,66.05,66.05,193.75,273.01
160.73,213.57,66.05,66.05,193.75,246.59
333.56,413.92,66.05,66.05,366.59,446.95
359.98,387.50,66.05,66.05,393.01,420.53
387.50,359.98,66.05,66.05,420.53,393.01
400.71,320.35,66.05,66.05,433.74,353.38
413.92,293.93,66.05,66.05,446.95,326.96
427.14,253.20,66.05,66.05,460.16,286.22
440.35,213.57,66.05,66.05,473.37,246.59
440.35,187.15,66.05,66.05,473.37,220.17
