124,0
x,y,dx,dy,x_c,y_c
245.00,297.50,86.41,86.41,288.21,340.71
227.50,297.50,86.41,86.41,270.71,340.71
227.50,297.50,86.41,86.41,270.71,340.71
262.50,297.50,86.41,86.41,305.71,340.71
280.00,297.50,86.41,86.41,323.21,340.71
245.00,280.00,86.41,86.41,288.21,323.21
245.00,262.50,86.41,86.41,288.21,305.71
245.00,227.50,86.41,86.41,288.21,270.71
245.00,210.00,86.41,86.41,288.21,253.21
192.50,210.00,86.41,86.41,235.71,253.21
192.50,210.00,86.41,86.41,235.71,253.21
175.00,210.00,86.41,86.41,218.21,253.21
175.00,210.00,86.41,86.41,218.21,253.21
175.00,210.00,86.41,86.41,218.21,253.21
157.50,227.50,86.41,86.41,200.70,270.71
122.50,192.50,86.41,86.41,165.70,235.71
140.00,175.00,86.41,86.41,183.20,218.21
157.50,157.50,86.41,86.41,200.70,200.70
175.00,175.00,86.41,86.41,218.21,218.21
192.50,175.00,86.41,86.41,235.71,218.21
297.50,210.00,86.41,86.41,340.71,253.21
315.00,210.00,86.41,86.41,358.21,253.21
332.50,210.00,86.41,86.41,375.71,253.21
315.00,192.50,86.41,86.41,358.21,235.71
332.50,192.50,86.41,86.41,375.71,235.71
350.00,192.50,86.41,86.41,393.21,235.71
385.00,157.50,86.41,86.41,428.21,200.70
385.00,140.00,86.41,86.41,428.21,183.20
350.00,140.00,86.41,86.41,393.21,183.20
332.50,140.00,86.41,86.41,375.71,183.20
297.50,157.50,86.41,86.41,340.71,200.70
245.00,315.00,86.41,86.41,288.21,358.21
227.50,315.00,86.41,86.41,270.71,358.21
210.00,332.50,86.41,86.41,253.21,375.71
192.50,350.00,86.41,86.41,235.71,393.21
210.00,350.00,86.41,86.41,253.21,393.21
227.50,332.50,86.41,86.41,270.71,375.71
245.00,332.50,86.41,86.41,288.21,375.71
280.00,315.00,86.41,86.41,323.21,358.21
315.00,332.50,86.41,86.41,358.21,375.71
332.50,332.50,86.41,86.41,375.71,375.71
332.50,332.50,86.41,86.41,375.71,375.71
297.50,332.50,86.41,86.41,340.71,375.71
315.00,367.50,86.41,86.41,358.21,410.71
297.50,350.00,86.41,86.41,340.71,393.21
297.50,385.00,86.41,86.41,340.71,428.21
262.50,367.50,86.41,86.41,305.71,410.71
227.50,385.00,86.41,86.41,270.71,428.21
227.50,350.00,86.41,86.41,270.71,393.21
210.00,367.50,86.41,86.41,253.21,410.71
262.50,385.00,86.41,86.41,305.71,428.21
280.00,455.00,86.41,86.41,323.21,498.21
245.00,437.50,86.41,86.41,288.21,480.71
210.00,402.50,86.41,86.41,253.21,445.71
175.00,367.50,86.41,86.41,218.21,410.71
157.50,315.00,86.41,86.41,200.70,358.21
140.00,262.50,86.41,86.41,183.20,305.71
140.00,210.00,86.41,86.41,183.20,253.21
122.50,157.50,86.41,86.41,165.70,200.70
122.50,105.00,86.41,86.41,165.70,148.20
315.00,437.50,86.41,86.41,358.21,480.71
350.00,402.50,86.41,86.41,393.21,445.71
402.50,367.50,86.41,86.41,445.71,410.71
420.00,315.00,86.41,86.41,463.21,358.21
437.50,280.00,86.41,86.41,480.71,323.21
437.50,245.00,86.41,86.41,480.71,288.21
455.00,192.50,86.41,86.41,498.21,235.71
455.00,140.00,86.41,86.41,498.21,183.20
