85,0
x,y,dx,dy,x_c,y_c
251.12,304.62,65.51,65.51,283.87,337.37
251.12,304.62,65.51,65.51,283.87,337.37
238.02,291.52,65.51,65.51,270.77,324.27
265.31,304.62,65.51,65.51,298.07,337.37
278.41,304.62,65.51,65.51,311.17,337.37
251.12,278.41,65.51,65.51,283.87,311.17
251.12,251.12,65.51,65.51,283.87,283.87
251.12,224.91,65.51,65.51,283.87,257.67
251.12,211.81,65.51,65.51,283.87,244.57
224.91,211.81,65.51,65.51,257.67,244.57
211.81,211.81,65.51,65.51,244.57,244.57
211.81,211.81,65.51,65.51,244.57,244.57
211.81,198.71,65.51,65.51,244.57,231.47
211.81,198.71,65.51,65.51,244.57,231.47
198.71,198.71,65.51,65.51,231.47,231.47
172.51,172.51,65.51,65.51,205.26,205.26
185.61,159.41,65.51,65.51,218.36,192.16
198.71,145.21,65.51,65.51,231.47,177.97
211.81,145.21,65.51,65.51,244.57,177.97
224.91,159.41,65.51,65.51,257.67,192.16
291.52,211.81,65.51,65.51,324.27,244.57
304.62,224.91,65.51,65.51,337.37,257.67
317.72,224.91,65.51,65.51,350.47,257.67
304.62,211.81,65.51,65.51,337.37,244.57
317.72,211.81,65.51,65.51,350.47,244.57
330.82,224.91,65.51,65.51,363.58,257.67
357.02,198.71,65.51,65.51,389.78,231.47
343.92,185.61,65.51,65.51,376.68,218.36
317.72,172.51,65.51,65.51,350.47,205.26
291.52,172.51,65.51,65.51,324.27,205.26
265.31,185.61,65.51,65.51,298.07,218.36
251.12,317.72,65.51,65.51,283.87,350.47
238.02,317.72,65.51,65.51,270.77,350.47
224.91,330.82,65.51,65.51,257.67,363.58
224.91,343.92,65.51,65.51,257.67,376.68
224.91,343.92,65.51,65.51,257.67,376.68
238.02,330.82,65.51,65.51,270.77,363.58
251.12,330.82,65.51,65.51,283.87,363.58
278.41,317.72,65.51,65.51,311.17,350.47
291.52,330.82,65.51,65.51,324.27,363.58
304.62,343.92,65.51,65.51,337.37,376.68
304.62,343.92,65.51,65.51,337.37,376.68
278.41,330.82,65.51,65.51,311.17,363.58
304.62,371.22,65.51,65.51,337.37,403.97
291.52,357.02,65.51,65.51,324.27,389.78
291.52,371.22,65.51,65.51,324.27,403.97
251.12,357.02,65.51,65.51,283.87,389.78
238.02,371.22,65.51,65.51,270.77,403.97
224.91,343.92,65.51,65.51,257.67,376.68
211.81,343.92,65.51,65.51,244.57,376.68
251.12,371.22,65.51,65.51,283.87,403.97
265.31,436.73,65.51,65.51,298.07,469.48
238.02,436.73,65.51,65.51,270.77,469.48
211.81,423.63,65.51,65.51,244.57,456.38
185.61,384.32,65.51,65.51,218.36,417.07
172.51,357.02,65.51,65.51,205.26,389.78
159.41,317.72,65.51,65.51,192.16,350.47
145.21,291.52,65.51,65.51,177.97,324.27
145.21,251.12,65.51,65.51,177.97,283.87
145.21,224.91,65.51,65.51,177.97,257.67
291.52,423.63,65.51,65.51,324.27,456.38
317.72,397.42,65.51,65.51,350.47,430.18
343.92,371.22,65.51,65.51,376.68,403.97
371.22,330.82,65.51,65.51,403.97,363.58
384.32,304.62,65.51,65.51,417.07,337.37
397.42,278.41,65.51,65.51,430.18,311.17
410.52,238.02,65.51,65.51,443.28,270.77
410.52,211.81,65.51,65.51,443.28,244.57
