153,0
x,y,dx,dy,x_c,y_c
264.65,329.99,65.35,65.35,297.32,362.67
264.65,329.99,65.35,65.35,297.32,362.67
250.49,329.99,65.35,65.35,283.16,362.67
277.72,329.99,65.35,65.35,310.39,362.67
290.79,329.99,65.35,65.35,323.46,362.67
264.65,303.86,65.35,65.35,297.32,336.53
264.65,277.72,65.35,65.35,297.32,310.39
264.65,250.49,65.35,65.35,297.32,283.16
264.65,224.35,65.35,65.35,297.32,257.03
224.35,224.35,65.35,65.35,257.03,257.03
211.28,224.35,65.35,65.35,243.96,257.03
198.21,224.35,65.35,65.35,230.89,257.03
211.28,211.28,65.35,65.35,243.96,243.96
198.21,211.28,65.35,65.35,230.89,243.96
185.15,224.35,65.35,65.35,217.82,257.03
159.01,198.21,65.35,65.35,191.68,230.89
172.08,185.15,65.35,65.35,204.75,217.82
185.15,172.08,65.35,65.35,217.82,204.75
198.21,185.15,65.35,65.35,230.89,217.82
224.35,198.21,65.35,65.35,257.03,230.89
303.86,224.35,65.35,65.35,336.53,257.03
316.93,224.35,65.35,65.35,349.60,257.03
329.99,224.35,65.35,65.35,362.67,257.03
316.93,211.28,65.35,65.35,349.60,243.96
329.99,211.28,65.35,65.35,362.67,243.96
343.06,224.35,65.35,65.35,375.74,257.03
370.29,198.21,65.35,65.35,402.96,230.89
356.13,185.15,65.35,65.35,388.81,217.82
329.99,185.15,65.35,65.35,362.67,217.82
303.86,185.15,65.35,65.35,336.53,217.82
277.72,185.15,65.35,65.35,310.39,217.82
264.65,343.06,65.35,65.35,297.32,375.74
250.49,329.99,65.35,65.35,283.16,362.67
224.35,329.99,65.35,65.35,257.03,362.67
211.28,343.06,65.35,65.35,243.96,375.74
224.35,343.06,65.35,65.35,257.03,375.74
237.42,329.99,65.35,65.35,270.09,362.67
264.65,356.13,65.35,65.35,297.32,388.81
290.79,343.06,65.35,65.35,323.46,375.74
316.93,356.13,65.35,65.35,349.60,388.81
329.99,370.29,65.35,65.35,362.67,402.96
316.93,370.29,65.35,65.35,349.60,402.96
290.79,356.13,65.35,65.35,323.46,388.81
329.99,396.43,65.35,65.35,362.67,429.10
303.86,383.36,65.35,65.35,336.53,416.03
303.86,409.50,65.35,65.35,336.53,442.17
277.72,396.43,65.35,65.35,310.39,429.10
250.49,409.50,65.35,65.35,283.16,442.17
250.49,383.36,65.35,65.35,283.16,416.03
237.42,383.36,65.35,65.35,270.09,416.03
277.72,409.50,65.35,65.35,310.39,442.17
277.72,475.93,65.35,65.35,310.39,508.61
250.49,461.77,65.35,65.35,283.16,494.45
237.42,435.64,65.35,65.35,270.09,468.31
211.28,396.43,65.35,65.35,243.96,429.10
185.15,370.29,65.35,65.35,217.82,402.96
172.08,329.99,65.35,65.35,204.75,362.67
172.08,303.86,65.35,65.35,204.75,336.53
159.01,264.65,65.35,65.35,191.68,297.32
159.01,237.42,65.35,65.35,191.68,270.09
303.86,461.77,65.35,65.35,336.53,494.45
329.99,435.64,65.35,65.35,362.67,468.31
370.29,409.50,65.35,65.35,402.96,442.17
383.36,370.29,65.35,65.35,416.03,402.96
396.43,329.99,65.35,65.35,429.10,362.67
409.50,290.79,65.35,65.35,442.17,323.46
422.57,250.49,65.35,65.35,455.24,283.16
422.57,211.28,65.35,65.35,455.24,243.96
