122,30
x,y,dx,dy,x_c,y_c
253.95,344.65,89.56,89.56,298.73,389.43
253.95,344.65,89.56,89.56,298.73,389.43
253.95,326.51,89.56,89.56,298.73,371.29
272.09,344.65,89.56,89.56,316.87,389.43
290.23,344.65,89.56,89.56,335.01,389.43
235.81,308.37,89.56,89.56,280.59,353.15
253.95,272.09,89.56,89.56,298.73,316.87
272.09,235.81,89.56,89.56,316.87,280.59
272.09,217.67,89.56,89.56,316.87,262.45
235.81,217.67,89.56,89.56,280.59,262.45
235.81,217.67,89.56,89.56,280.59,262.45
217.67,217.67,89.56,89.56,262.45,262.45
217.67,217.67,89.56,89.56,262.45,262.45
217.67,199.53,89.56,89.56,262.45,244.31
199.53,217.67,89.56,89.56,244.31,262.45
181.39,163.25,89.56,89.56,226.17,208.04
181.39,163.25,89.56,89.56,226.17,208.04
199.53,145.11,89.56,89.56,244.31,189.90
217.67,163.25,89.56,89.56,262.45,208.04
235.81,163.25,89.56,89.56,280.59,208.04
326.51,217.67,89.56,89.56,371.29,262.45
344.65,235.81,89.56,89.56,389.43,280.59
344.65,235.81,89.56,89.56,389.43,280.59
344.65,217.67,89.56,89.56,389.43,262.45
362.79,217.67,89.56,89.56,407.57,262.45
380.93,217.67,89.56,89.56,425.71,262.45
435.34,181.39,89.56,89.56,480.12,226.17
417.20,181.39,89.56,89.56,461.99,226.17
380.93,181.39,89.56,89.56,425.71,226.17
344.65,181.39,89.56,89.56,389.43,226.17
308.37,181.39,89.56,89.56,353.15,226.17
253.95,362.79,89.56,89.56,298.73,407.57
235.81,362.79,89.56,89.56,280.59,407.57
217.67,362.79,89.56,89.56,262.45,407.57
217.67,380.93,89.56,89.56,262.45,425.71
217.67,362.79,89.56,89.56,262.45,407.57
235.81,362.79,89.56,89.56,280.59,407.57
253.95,362.79,89.56,89.56,298.73,407.57
272.09,362.79,89.56,89.56,316.87,407.57
290.23,362.79,89.56,89.56,335.01,407.57
308.37,380.93,89.56,89.56,353.15,425.71
290.23,380.93,89.56,89.56,335.01,425.71
272.09,380.93,89.56,89.56,316.87,425.71
290.23,399.06,89.56,89.56,335.01,443.85
253.95,380.93,89.56,89.56,298.73,425.71
253.95,399.06,89.56,89.56,298.73,443.85
217.67,362.79,89.56,89.56,262.45,407.57
217.67,399.06,89.56,89.56,262.45,443.85
217.67,380.93,89.56,89.56,262.45,425.71
199.53,399.06,89.56,89.56,244.31,443.85
217.67,380.93,89.56,89.56,262.45,425.71
217.67,471.62,89.56,89.56,262.45,516.40
199.53,453.48,89.56,89.56,244.31,498.26
181.39,435.34,89.56,89.56,226.17,480.12
181.39,417.20,89.56,89.56,226.17,461.99
163.25,399.06,89.56,89.56,208.04,443.85
163.25,362.79,89.56,89.56,208.04,407.57
163.25,326.51,89.56,89.56,208.04,371.29
163.25,308.37,89.56,89.56,208.04,353.15
163.25,290.23,89.56,89.56,208.04,335.01
253.95,453.48,89.56,89.56,298.73,498.26
308.37,435.34,89.56,89.56,353.15,480.12
344.65,417.20,89.56,89.56,389.43,461.99
380.93,380.93,89.56,89.56,425.71,425.71
399.06,344.65,89.56,89.56,443.85,389.43
417.20,308.37,89.56,89.56,461.99,353.15
435.34,253.95,89.56,89.56,480.12,298.73
453.48,217.67,89.56,89.56,498.26,262.45
