79,0
x,y,dx,dy,x_c,y_c
250.91,291.27,65.45,65.45,283.64,324.00
237.82,291.27,65.45,65.45,270.55,324.00
224.73,278.18,65.45,65.45,257.45,310.91
265.09,278.18,65.45,65.45,297.82,310.91
278.18,278.18,65.45,65.45,310.91,310.91
250.91,265.09,65.45,65.45,283.64,297.82
250.91,250.91,65.45,65.45,283.64,283.64
250.91,224.73,65.45,65.45,283.64,257.45
250.91,211.64,65.45,65.45,283.64,244.36
211.64,211.64,65.45,65.45,244.36,244.36
198.55,211.64,65.45,65.45,231.27,244.36
198.55,211.64,65.45,65.45,231.27,244.36
198.55,198.55,65.45,65.45,231.27,231.27
198.55,198.55,65.45,65.45,231.27,231.27
185.45,211.64,65.45,65.45,218.18,244.36
159.27,198.55,65.45,65.45,192.00,231.27
172.36,185.45,65.45,65.45,205.09,218.18
185.45,172.36,65.45,65.45,218.18,205.09
198.55,172.36,65.45,65.45,231.27,205.09
211.64,185.45,65.45,65.45,244.36,218.18
291.27,211.64,65.45,65.45,324.00,244.36
304.36,211.64,65.45,65.45,337.09,244.36
317.45,211.64,65.45,65.45,350.18,244.36
304.36,198.55,65.45,65.45,337.09,231.27
317.45,198.55,65.45,65.45,350.18,231.27
330.55,198.55,65.45,65.45,363.27,231.27
356.73,172.36,65.45,65.45,389.45,205.09
343.64,172.36,65.45,65.45,376.36,205.09
317.45,172.36,65.45,65.45,350.18,205.09
291.27,172.36,65.45,65.45,324.00,205.09
265.09,172.36,65.45,65.45,297.82,205.09
250.91,304.36,65.45,65.45,283.64,337.09
224.73,304.36,65.45,65.45,257.45,337.09
211.64,304.36,65.45,65.45,244.36,337.09
198.55,317.45,65.45,65.45,231.27,350.18
198.55,317.45,65.45,65.45,231.27,350.18
211.64,317.45,65.45,65.45,244.36,350.18
250.91,317.45,65.45,65.45,283.64,350.18
278.18,291.27,65.45,65.45,310.91,324.00
304.36,304.36,65.45,65.45,337.09,337.09
317.45,317.45,65.45,65.45,350.18,350.18
304.36,317.45,65.45,65.45,337.09,350.18
291.27,317.45,65.45,65.45,324.00,350.18
304.36,330.55,65.45,65.45,337.09,363.27
291.27,317.45,65.45,65.45,324.00,350.18
291.27,343.64,65.45,65.45,324.00,376.36
265.09,330.55,65.45,65.45,297.82,363.27
237.82,343.64,65.45,65.45,270.55,376.36
250.91,330.55,65.45,65.45,283.64,363.27
237.82,343.64,65.45,65.45,270.55,376.36
265.09,343.64,65.45,65.45,297.82,376.36
265.09,397.09,65.45,65.45,297.82,429.82
237.82,384.00,65.45,65.45,270.55,416.73
211.64,356.73,65.45,65.45,244.36,389.45
185.45,330.55,65.45,65.45,218.18,363.27
159.27,304.36,65.45,65.45,192.00,337.09
145.09,265.09,65.45,65.45,177.82,297.82
145.09,224.73,65.45,65.45,177.82,257.45
132.00,185.45,65.45,65.45,164.73,218.18
132.00,145.09,65.45,65.45,164.73,177.82
291.27,384.00,65.45,65.45,324.00,416.73
317.45,370.91,65.45,65.45,350.18,403.64
356.73,343.64,65.45,65.45,389.45,376.36
370.91,304.36,65.45,65.45,403.64,337.09
384.00,278.18,65.45,65.45,416.73,310.91
384.00,250.91,65.45,65.45,416.73,283.64
397.09,211.64,65.45,65.45,429.82,244.36
397.09,172.36,65.45,65.45,429.82,205.09
