106,0
x,y,dx,dy,x_c,y_c
261.97,323.87,76.27,76.27,300.10,362.01
261.97,323.87,76.27,76.27,300.10,362.01
261.97,323.87,76.27,76.27,300.10,362.01
277.45,323.87,76.27,76.27,315.58,362.01
292.92,323.87,76.27,76.27,331.05,362.01
261.97,292.92,76.27,76.27,300.10,331.05
261.97,261.97,76.27,76.27,300.10,300.10
261.97,231.02,76.27,76.27,300.10,269.15
261.97,215.54,76.27,76.27,300.10,253.68
215.54,215.54,76.27,76.27,253.68,253.68
215.54,215.54,76.27,76.27,253.68,253.68
215.54,215.54,76.27,76.27,253.68,253.68
200.07,215.54,76.27,76.27,238.20,253.68
200.07,215.54,76.27,76.27,238.20,253.68
184.59,215.54,76.27,76.27,222.73,253.68
153.64,184.59,76.27,76.27,191.78,222.73
169.12,169.12,76.27,76.27,207.25,207.25
184.59,153.64,76.27,76.27,222.73,191.78
215.54,169.12,76.27,76.27,253.68,207.25
231.02,184.59,76.27,76.27,269.15,222.73
308.40,215.54,76.27,76.27,346.53,253.68
323.87,215.54,76.27,76.27,362.01,253.68
338.24,215.54,76.27,76.27,376.37,253.68
323.87,215.54,76.27,76.27,362.01,253.68
338.24,215.54,76.27,76.27,376.37,253.68
353.71,215.54,76.27,76.27,391.85,253.68
384.66,184.59,76.27,76.27,422.80,222.73
369.19,184.59,76.27,76.27,407.32,222.73
338.24,169.12,76.27,76.27,376.37,207.25
323.87,169.12,76.27,76.27,362.01,207.25
292.92,184.59,76.27,76.27,331.05,222.73
261.97,338.24,76.27,76.27,300.10,376.37
246.50,338.24,76.27,76.27,284.63,376.37
231.02,338.24,76.27,76.27,269.15,376.37
215.54,353.71,76.27,76.27,253.68,391.85
231.02,369.19,76.27,76.27,269.15,407.32
246.50,353.71,76.27,76.27,284.63,391.85
261.97,353.71,76.27,76.27,300.10,391.85
292.92,323.87,76.27,76.27,331.05,362.01
323.87,338.24,76.27,76.27,362.01,376.37
338.24,353.71,76.27,76.27,376.37,391.85
323.87,353.71,76.27,76.27,362.01,391.85
292.92,353.71,76.27,76.27,331.05,391.85
323.87,369.19,76.27,76.27,362.01,407.32
308.40,353.71,76.27,76.27,346.53,391.85
308.40,369.19,76.27,76.27,346.53,407.32
277.45,353.71,76.27,76.27,315.58,391.85
246.50,369.19,76.27,76.27,284.63,407.32
246.50,338.24,76.27,76.27,284.63,376.37
231.02,353.71,76.27,76.27,269.15,391.85
277.45,369.19,76.27,76.27,315.58,407.32
277.45,446.56,76.27,76.27,315.58,484.70
231.02,431.09,76.27,76.27,269.15,469.22
200.07,400.14,76.27,76.27,238.20,438.27
169.12,369.19,76.27,76.27,207.25,407.32
153.64,338.24,76.27,76.27,191.78,376.37
138.17,308.40,76.27,76.27,176.30,346.53
138.17,277.45,76.27,76.27,176.30,315.58
138.17,231.02,76.27,76.27,176.30,269.15
138.17,184.59,76.27,76.27,176.30,222.73
308.40,431.09,76.27,76.27,346.53,469.22
338.24,400.14,76.27,76.27,376.37,438.27
353.71,369.19,76.27,76.27,391.85,407.32
369.19,323.87,76.27,76.27,407.32,362.01
384.66,277.45,76.27,76.27,422.80,315.58
400.14,246.50,76.27,76.27,438.27,284.63
400.14,200.07,76.27,76.27,438.27,238.20
400.14,169.12,76.27,76.27,438.27,207.25
