66,30
x,y,dx,dy,x_c,y_c
257.26,349.14,90.73,90.73,302.62,394.50
238.88,330.76,90.73,90.73,284.25,376.13
202.13,330.76,90.73,90.73,247.50,376.13
275.64,349.14,90.73,90.73,321.00,394.50
294.01,349.14,90.73,90.73,339.38,394.50
238.88,312.39,90.73,90.73,284.25,357.75
238.88,294.01,90.73,90.73,284.25,339.38
257.26,257.26,90.73,90.73,302.62,302.62
275.64,238.88,90.73,90.73,321.00,284.25
238.88,238.88,90.73,90.73,284.25,284.25
238.88,238.88,90.73,90.73,284.25,284.25
220.51,238.88,90.73,90.73,265.87,284.25
220.51,238.88,90.73,90.73,265.87,284.25
220.51,220.51,90.73,90.73,265.87,265.87
220.51,238.88,90.73,90.73,265.87,284.25
202.13,183.76,90.73,90.73,247.50,229.12
202.13,183.76,90.73,90.73,247.50,229.12
202.13,165.38,90.73,90.73,247.50,210.75
220.51,183.76,90.73,90.73,265.87,229.12
220.51,183.76,90.73,90.73,265.87,229.12
330.76,238.88,90.73,90.73,376.13,284.25
349.14,238.88,90.73,90.73,394.50,284.25
367.51,238.88,90.73,90.73,412.88,284.25
349.14,238.88,90.73,90.73,394.50,284.25
367.51,238.88,90.73,90.73,412.88,284.25
385.89,238.88,90.73,90.73,431.25,284.25
441.02,202.13,90.73,90.73,486.38,247.50
404.27,202.13,90.73,90.73,449.63,247.50
367.51,202.13,90.73,90.73,412.88,247.50
330.76,202.13,90.73,90.73,376.13,247.50
294.01,202.13,90.73,90.73,339.38,247.50
257.26,385.89,90.73,90.73,302.62,431.25
238.88,385.89,90.73,90.73,284.25,431.25
220.51,385.89,90.73,90.73,265.87,431.25
220.51,404.27,90.73,90.73,265.87,449.63
238.88,404.27,90.73,90.73,284.25,449.63
238.88,404.27,90.73,90.73,284.25,449.63
257.26,404.27,90.73,90.73,302.62,449.63
275.64,367.51,90.73,90.73,321.00,412.88
312.39,367.51,90.73,90.73,357.75,412.88
330.76,367.51,90.73,90.73,376.13,412.88
294.01,385.89,90.73,90.73,339.38,431.25
275.64,385.89,90.73,90.73,321.00,431.25
312.39,385.89,90.73,90.73,357.75,431.25
275.64,349.14,90.73,90.73,321.00,394.50
275.64,385.89,90.73,90.73,321.00,431.25
257.26,367.51,90.73,90.73,302.62,412.88
220.51,385.89,90.73,90.73,265.87,431.25
238.88,367.51,90.73,90.73,284.25,412.88
220.51,385.89,90.73,90.73,265.87,431.25
257.26,385.89,90.73,90.73,302.62,431.25
257.26,477.77,90.73,90.73,302.62,523.13
238.88,459.39,90.73,90.73,284.25,504.76
220.51,422.64,90.73,90.73,265.87,468.01
220.51,385.89,90.73,90.73,265.87,431.25
183.76,349.14,90.73,90.73,229.12,394.50
183.76,330.76,90.73,90.73,229.12,376.13
183.76,312.39,90.73,90.73,229.12,357.75
165.38,294.01,90.73,90.73,210.75,339.38
165.38,275.64,90.73,90.73,210.75,321.00
294.01,459.39,90.73,90.73,339.38,504.76
349.14,441.02,90.73,90.73,394.50,486.38
385.89,422.64,90.73,90.73,431.25,468.01
422.64,385.89,90.73,90.73,468.01,431.25
441.02,349.14,90.73,90.73,486.38,394.50
459.39,294.01,90.73,90.73,504.76,339.38
477.77,238.88,90.73,90.73,523.13,284.25
477.77,202.13,90.73,90.73,523.13,247.50
