103,0
x,y,dx,dy,x_c,y_c
265.31,330.82,65.51,65.51,298.07,363.58
251.12,330.82,65.51,65.51,283.87,363.58
251.12,330.82,65.51,65.51,283.87,363.58
278.41,330.82,65.51,65.51,311.17,363.58
278.41,330.82,65.51,65.51,311.17,363.58
265.31,304.62,65.51,65.51,298.07,337.37
265.31,291.52,65.51,65.51,298.07,324.27
265.31,265.31,65.51,65.51,298.07,298.07
265.31,238.02,65.51,65.51,298.07,270.77
224.91,224.91,65.51,65.51,257.67,257.67
211.81,224.91,65.51,65.51,244.57,257.67
198.71,224.91,65.51,65.51,231.47,257.67
211.81,211.81,65.51,65.51,244.57,244.57
198.71,211.81,65.51,65.51,231.47,244.57
185.61,224.91,65.51,65.51,218.36,257.67
145.21,198.71,65.51,65.51,177.97,231.47
159.41,185.61,65.51,65.51,192.16,218.36
185.61,185.61,65.51,65.51,218.36,218.36
211.81,185.61,65.51,65.51,244.57,218.36
224.91,198.71,65.51,65.51,257.67,231.47
304.62,238.02,65.51,65.51,337.37,270.77
317.72,238.02,65.51,65.51,350.47,270.77
330.82,238.02,65.51,65.51,363.58,270.77
317.72,224.91,65.51,65.51,350.47,257.67
330.82,224.91,65.51,65.51,363.58,257.67
343.92,224.91,65.51,65.51,376.68,257.67
371.22,198.71,65.51,65.51,403.97,231.47
357.02,198.71,65.51,65.51,389.78,231.47
330.82,198.71,65.51,65.51,363.58,231.47
304.62,198.71,65.51,65.51,337.37,231.47
278.41,198.71,65.51,65.51,311.17,231.47
251.12,343.92,65.51,65.51,283.87,376.68
224.91,330.82,65.51,65.51,257.67,363.58
198.71,330.82,65.51,65.51,231.47,363.58
185.61,343.92,65.51,65.51,218.36,376.68
185.61,343.92,65.51,65.51,218.36,376.68
224.91,343.92,65.51,65.51,257.67,376.68
251.12,343.92,65.51,65.51,283.87,376.68
278.41,330.82,65.51,65.51,311.17,363.58
291.52,343.92,65.51,65.51,324.27,376.68
304.62,343.92,65.51,65.51,337.37,376.68
291.52,357.02,65.51,65.51,324.27,389.78
291.52,343.92,65.51,65.51,324.27,376.68
291.52,371.22,65.51,65.51,324.27,403.97
278.41,357.02,65.51,65.51,311.17,389.78
278.41,371.22,65.51,65.51,311.17,403.97
251.12,357.02,65.51,65.51,283.87,389.78
224.91,371.22,65.51,65.51,257.67,403.97
211.81,343.92,65.51,65.51,244.57,376.68
198.71,357.02,65.51,65.51,231.47,389.78
251.12,371.22,65.51,65.51,283.87,403.97
265.31,436.73,65.51,65.51,298.07,469.48
224.91,423.63,65.51,65.51,257.67,456.38
198.71,410.52,65.51,65.51,231.47,443.28
172.51,371.22,65.51,65.51,205.26,403.97
145.21,343.92,65.51,65.51,177.97,376.68
132.11,304.62,65.51,65.51,164.86,337.37
132.11,278.41,65.51,65.51,164.86,311.17
119.01,238.02,65.51,65.51,151.76,270.77
119.01,198.71,65.51,65.51,151.76,231.47
291.52,423.63,65.51,65.51,324.27,456.38
317.72,397.42,65.51,65.51,350.47,430.18
343.92,371.22,65.51,65.51,376.68,403.97
357.02,330.82,65.51,65.51,389.78,363.58
371.22,304.62,65.51,65.51,403.97,337.37
384.32,278.41,65.51,65.51,417.07,311.17
397.42,238.02,65.51,65.51,430.18,270.77
397.42,198.71,65.51,65.51,430.18,231.47
