141,0
x,y,dx,dy,x_c,y_c
276.00,310.91,56.73,56.73,304.36,339.27
265.09,310.91,56.73,56.73,293.45,339.27
253.09,310.91,56.73,56.73,281.45,339.27
288.00,310.91,56.73,56.73,316.36,339.27
288.00,310.91,56.73,56.73,316.36,339.27
276.00,288.00,56.73,56.73,304.36,316.36
276.00,276.00,56.73,56.73,304.36,304.36
276.00,253.09,56.73,56.73,304.36,281.45
276.00,230.18,56.73,56.73,304.36,258.55
242.18,230.18,56.73,56.73,270.55,258.55
230.18,230.18,56.73,56.73,258.55,258.55
219.27,230.18,56.73,56.73,247.64,258.55
230.18,219.27,56.73,56.73,258.55,247.64
219.27,219.27,56.73,56.73,247.64,247.64
207.27,219.27,56.73,56.73,235.64,247.64
184.36,195.27,56.73,56.73,212.73,223.64
195.27,184.36,56.73,56.73,223.64,212.73
207.27,172.36,56.73,56.73,235.64,200.73
219.27,184.36,56.73,56.73,247.64,212.73
242.18,195.27,56.73,56.73,270.55,223.64
310.91,230.18,56.73,56.73,339.27,258.55
322.91,230.18,56.73,56.73,351.27,258.55
333.82,230.18,56.73,56.73,362.18,258.55
322.91,219.27,56.73,56.73,351.27,247.64
333.82,219.27,56.73,56.73,362.18,247.64
345.82,219.27,56.73,56.73,374.18,247.64
368.73,195.27,56.73,56.73,397.09,223.64
356.73,195.27,56.73,56.73,385.09,223.64
333.82,184.36,56.73,56.73,362.18,212.73
310.91,184.36,56.73,56.73,339.27,212.73
288.00,184.36,56.73,56.73,316.36,212.73
276.00,333.82,56.73,56.73,304.36,362.18
265.09,333.82,56.73,56.73,293.45,362.18
253.09,333.82,56.73,56.73,281.45,362.18
242.18,356.73,56.73,56.73,270.55,385.09
242.18,345.82,56.73,56.73,270.55,374.18
265.09,345.82,56.73,56.73,293.45,374.18
276.00,345.82,56.73,56.73,304.36,374.18
288.00,322.91,56.73,56.73,316.36,351.27
298.91,333.82,56.73,56.73,327.27,362.18
310.91,345.82,56.73,56.73,339.27,374.18
298.91,345.82,56.73,56.73,327.27,374.18
288.00,345.82,56.73,56.73,316.36,374.18
310.91,368.73,56.73,56.73,339.27,397.09
298.91,356.73,56.73,56.73,327.27,385.09
298.91,368.73,56.73,56.73,327.27,397.09
276.00,356.73,56.73,56.73,304.36,385.09
253.09,368.73,56.73,56.73,281.45,397.09
253.09,345.82,56.73,56.73,281.45,374.18
242.18,356.73,56.73,56.73,270.55,385.09
276.00,368.73,56.73,56.73,304.36,397.09
288.00,426.55,56.73,56.73,316.36,454.91
265.09,426.55,56.73,56.73,293.45,454.91
242.18,414.55,56.73,56.73,270.55,442.91
230.18,391.64,56.73,56.73,258.55,420.00
219.27,368.73,56.73,56.73,247.64,397.09
207.27,345.82,56.73,56.73,235.64,374.18
207.27,322.91,56.73,56.73,235.64,351.27
195.27,288.00,56.73,56.73,223.64,316.36
195.27,253.09,56.73,56.73,223.64,281.45
310.91,414.55,56.73,56.73,339.27,442.91
333.82,391.64,56.73,56.73,362.18,420.00
356.73,368.73,56.73,56.73,385.09,397.09
368.73,333.82,56.73,56.73,397.09,362.18
379.64,298.91,56.73,56.73,408.00,327.27
391.64,276.00,56.73,56.73,420.00,304.36
402.55,242.18,56.73,56.73,430.91,270.55
402.55,219.27,56.73,56.73,430.91,247.64
