69,0
x,y,dx,dy,x_c,y_c
243.25,314.07,70.82,70.82,278.66,349.48
228.88,314.07,70.82,70.82,264.29,349.48
214.51,314.07,70.82,70.82,249.92,349.48
257.62,300.72,70.82,70.82,293.03,336.13
271.99,300.72,70.82,70.82,307.40,336.13
243.25,286.36,70.82,70.82,278.66,321.76
243.25,257.62,70.82,70.82,278.66,293.03
243.25,228.88,70.82,70.82,278.66,264.29
243.25,200.14,70.82,70.82,278.66,235.55
200.14,200.14,70.82,70.82,235.55,235.55
200.14,200.14,70.82,70.82,235.55,235.55
200.14,214.51,70.82,70.82,235.55,249.92
185.77,200.14,70.82,70.82,221.18,235.55
185.77,200.14,70.82,70.82,221.18,235.55
171.40,214.51,70.82,70.82,206.81,249.92
128.30,185.77,70.82,70.82,163.70,221.18
142.66,171.40,70.82,70.82,178.07,206.81
157.03,157.03,70.82,70.82,192.44,192.44
185.77,171.40,70.82,70.82,221.18,206.81
200.14,185.77,70.82,70.82,235.55,221.18
286.36,200.14,70.82,70.82,321.76,235.55
300.72,200.14,70.82,70.82,336.13,235.55
314.07,200.14,70.82,70.82,349.48,235.55
300.72,200.14,70.82,70.82,336.13,235.55
314.07,200.14,70.82,70.82,349.48,235.55
328.44,200.14,70.82,70.82,363.85,235.55
357.17,171.40,70.82,70.82,392.58,206.81
342.81,171.40,70.82,70.82,378.21,206.81
314.07,171.40,70.82,70.82,349.48,206.81
300.72,171.40,70.82,70.82,336.13,206.81
271.99,171.40,70.82,70.82,307.40,206.81
243.25,342.81,70.82,70.82,278.66,378.21
228.88,342.81,70.82,70.82,264.29,378.21
214.51,357.17,70.82,70.82,249.92,392.58
214.51,385.91,70.82,70.82,249.92,421.32
214.51,385.91,70.82,70.82,249.92,421.32
228.88,357.17,70.82,70.82,264.29,392.58
243.25,357.17,70.82,70.82,278.66,392.58
271.99,328.44,70.82,70.82,307.40,363.85
286.36,328.44,70.82,70.82,321.76,363.85
300.72,328.44,70.82,70.82,336.13,363.85
286.36,342.81,70.82,70.82,321.76,378.21
271.99,342.81,70.82,70.82,307.40,378.21
300.72,342.81,70.82,70.82,336.13,378.21
286.36,328.44,70.82,70.82,321.76,363.85
286.36,342.81,70.82,70.82,321.76,378.21
257.62,328.44,70.82,70.82,293.03,363.85
228.88,342.81,70.82,70.82,264.29,378.21
228.88,314.07,70.82,70.82,264.29,349.48
214.51,314.07,70.82,70.82,249.92,349.48
257.62,342.81,70.82,70.82,293.03,378.21
271.99,400.28,70.82,70.82,307.40,435.69
243.25,385.91,70.82,70.82,278.66,421.32
214.51,357.17,70.82,70.82,249.92,392.58
185.77,328.44,70.82,70.82,221.18,363.85
157.03,300.72,70.82,70.82,192.44,336.13
142.66,271.99,70.82,70.82,178.07,307.40
142.66,243.25,70.82,70.82,178.07,278.66
128.30,200.14,70.82,70.82,163.70,235.55
128.30,157.03,70.82,70.82,163.70,192.44
300.72,385.91,70.82,70.82,336.13,421.32
328.44,357.17,70.82,70.82,363.85,392.58
371.54,328.44,70.82,70.82,406.95,363.85
385.91,286.36,70.82,70.82,421.32,321.76
400.28,257.62,70.82,70.82,435.69,293.03
414.65,228.88,70.82,70.82,450.06,264.29
429.02,185.77,70.82,70.82,464.43,221.18
429.02,142.66,70.82,70.82,464.43,178.07
