97,0
x,y,dx,dy,x_c,y_c
265.09,330.55,65.45,65.45,297.82,363.27
250.91,330.55,65.45,65.45,283.64,363.27
250.91,317.45,65.45,65.45,283.64,350.18
278.18,330.55,65.45,65.45,310.91,363.27
291.27,330.55,65.45,65.45,324.00,363.27
265.09,304.36,65.45,65.45,297.82,337.09
265.09,278.18,65.45,65.45,297.82,310.91
265.09,250.91,65.45,65.45,297.82,283.64
265.09,224.73,65.45,65.45,297.82,257.45
224.73,224.73,65.45,65.45,257.45,257.45
211.64,224.73,65.45,65.45,244.36,257.45
198.55,224.73,65.45,65.45,231.27,257.45
211.64,211.64,65.45,65.45,244.36,244.36
198.55,211.64,65.45,65.45,231.27,244.36
185.45,211.64,65.45,65.45,218.18,244.36
145.09,198.55,65.45,65.45,177.82,231.27
159.27,185.45,65.45,65.45,192.00,218.18
185.45,172.36,65.45,65.45,218.18,205.09
211.64,185.45,65.45,65.45,244.36,218.18
224.73,198.55,65.45,65.45,257.45,231.27
304.36,224.73,65.45,65.45,337.09,257.45
317.45,224.73,65.45,65.45,350.18,257.45
330.55,224.73,65.45,65.45,363.27,257.45
317.45,224.73,65.45,65.45,350.18,257.45
330.55,224.73,65.45,65.45,363.27,257.45
343.64,224.73,65.45,65.45,376.36,257.45
370.91,198.55,65.45,65.45,403.64,231.27
356.73,185.45,65.45,65.45,389.45,218.18
330.55,185.45,65.45,65.45,363.27,218.18
304.36,185.45,65.45,65.45,337.09,218.18
278.18,185.45,65.45,65.45,310.91,218.18
265.09,343.64,65.45,65.45,297.82,376.36
250.91,330.55,65.45,65.45,283.64,363.27
224.73,330.55,65.45,65.45,257.45,363.27
211.64,343.64,65.45,65.45,244.36,376.36
224.73,343.64,65.45,65.45,257.45,376.36
237.82,343.64,65.45,65.45,270.55,376.36
265.09,356.73,65.45,65.45,297.82,389.45
278.18,330.55,65.45,65.45,310.91,363.27
291.27,343.64,65.45,65.45,324.00,376.36
304.36,343.64,65.45,65.45,337.09,376.36
291.27,356.73,65.45,65.45,324.00,389.45
291.27,343.64,65.45,65.45,324.00,376.36
304.36,370.91,65.45,65.45,337.09,403.64
291.27,356.73,65.45,65.45,324.00,389.45
291.27,370.91,65.45,65.45,324.00,403.64
265.09,356.73,65.45,65.45,297.82,389.45
224.73,356.73,65.45,65.45,257.45,389.45
224.73,330.55,65.45,65.45,257.45,363.27
211.64,343.64,65.45,65.45,244.36,376.36
265.09,370.91,65.45,65.45,297.82,403.64
265.09,423.27,65.45,65.45,297.82,456.00
224.73,410.18,65.45,65.45,257.45,442.91
198.55,384.00,65.45,65.45,231.27,416.73
172.36,356.73,65.45,65.45,205.09,389.45
145.09,330.55,65.45,65.45,177.82,363.27
132.00,291.27,65.45,65.45,164.73,324.00
132.00,265.09,65.45,65.45,164.73,297.82
132.00,224.73,65.45,65.45,164.73,257.45
132.00,198.55,65.45,65.45,164.73,231.27
291.27,410.18,65.45,65.45,324.00,442.91
317.45,384.00,65.45,65.45,350.18,416.73
356.73,356.73,65.45,65.45,389.45,389.45
370.91,317.45,65.45,65.45,403.64,350.18
370.91,291.27,65.45,65.45,403.64,324.00
384.00,250.91,65.45,65.45,416.73,283.64
397.09,211.64,65.45,65.45,429.82,244.36
397.09,185.45,65.45,65.45,429.82,218.18
