63,15
x,y,dx,dy,x_c,y_c
228.19,258.76,75.34,75.34,265.86,296.43
212.90,258.76,75.34,75.34,250.57,296.43
197.62,258.76,75.34,75.34,235.29,296.43
228.19,258.76,75.34,75.34,265.86,296.43
243.48,258.76,75.34,75.34,281.14,296.43
228.19,228.19,75.34,75.34,265.86,265.86
243.48,228.19,75.34,75.34,281.14,265.86
243.48,212.90,75.34,75.34,281.14,250.57
243.48,197.62,75.34,75.34,281.14,235.29
212.90,212.90,75.34,75.34,250.57,250.57
197.62,212.90,75.34,75.34,235.29,250.57
182.33,212.90,75.34,75.34,220.00,250.57
212.90,197.62,75.34,75.34,250.57,235.29
197.62,197.62,75.34,75.34,235.29,235.29
182.33,212.90,75.34,75.34,220.00,250.57
151.76,182.33,75.34,75.34,189.43,220.00
167.05,167.05,75.34,75.34,204.72,204.72
182.33,167.05,75.34,75.34,220.00,204.72
197.62,167.05,75.34,75.34,235.29,204.72
212.90,182.33,75.34,75.34,250.57,220.00
289.33,212.90,75.34,75.34,327.00,250.57
304.62,212.90,75.34,75.34,342.28,250.57
319.90,212.90,75.34,75.34,357.57,250.57
304.62,197.62,75.34,75.34,342.28,235.29
319.90,197.62,75.34,75.34,357.57,235.29
334.10,212.90,75.34,75.34,371.76,250.57
379.95,182.33,75.34,75.34,417.62,220.00
364.67,167.05,75.34,75.34,402.33,204.72
334.10,167.05,75.34,75.34,371.76,204.72
304.62,167.05,75.34,75.34,342.28,204.72
274.05,167.05,75.34,75.34,311.71,204.72
212.90,289.33,75.34,75.34,250.57,327.00
197.62,289.33,75.34,75.34,235.29,327.00
182.33,289.33,75.34,75.34,220.00,327.00
182.33,304.62,75.34,75.34,220.00,342.28
182.33,304.62,75.34,75.34,220.00,342.28
197.62,304.62,75.34,75.34,235.29,342.28
212.90,304.62,75.34,75.34,250.57,342.28
243.48,304.62,75.34,75.34,281.14,342.28
274.05,319.90,75.34,75.34,311.71,357.57
289.33,334.10,75.34,75.34,327.00,371.76
274.05,334.10,75.34,75.34,311.71,371.76
243.48,319.90,75.34,75.34,281.14,357.57
274.05,349.38,75.34,75.34,311.71,387.05
258.76,334.10,75.34,75.34,296.43,371.76
258.76,349.38,75.34,75.34,296.43,387.05
243.48,334.10,75.34,75.34,281.14,371.76
212.90,349.38,75.34,75.34,250.57,387.05
212.90,319.90,75.34,75.34,250.57,357.57
197.62,349.38,75.34,75.34,235.29,387.05
243.48,364.67,75.34,75.34,281.14,402.33
243.48,441.09,75.34,75.34,281.14,478.76
212.90,425.81,75.34,75.34,250.57,463.48
197.62,410.52,75.34,75.34,235.29,448.19
182.33,379.95,75.34,75.34,220.00,417.62
167.05,364.67,75.34,75.34,204.72,402.33
167.05,334.10,75.34,75.34,204.72,371.76
151.76,304.62,75.34,75.34,189.43,342.28
136.48,274.05,75.34,75.34,174.14,311.71
136.48,243.48,75.34,75.34,174.14,281.14
289.33,425.81,75.34,75.34,327.00,463.48
319.90,410.52,75.34,75.34,357.57,448.19
364.67,379.95,75.34,75.34,402.33,417.62
379.95,349.38,75.34,75.34,417.62,387.05
410.52,304.62,75.34,75.34,448.19,342.28
425.81,258.76,75.34,75.34,463.48,296.43
441.09,212.90,75.34,75.34,478.76,250.57
441.09,182.33,75.34,75.34,478.76,220.00
