106,0
x,y,dx,dy,x_c,y_c
265.31,317.72,65.51,65.51,298.07,350.47
265.31,317.72,65.51,65.51,298.07,350.47
265.31,317.72,65.51,65.51,298.07,350.47
278.41,317.72,65.51,65.51,311.17,350.47
278.41,317.72,65.51,65.51,311.17,350.47
265.31,291.52,65.51,65.51,298.07,324.27
265.31,265.31,65.51,65.51,298.07,298.07
265.31,238.02,65.51,65.51,298.07,270.77
265.31,224.91,65.51,65.51,298.07,257.67
224.91,224.91,65.51,65.51,257.67,257.67
211.81,224.91,65.51,65.51,244.57,257.67
198.71,224.91,65.51,65.51,231.47,257.67
211.81,224.91,65.51,65.51,244.57,257.67
211.81,224.91,65.51,65.51,244.57,257.67
198.71,224.91,65.51,65.51,231.47,257.67
172.51,198.71,65.51,65.51,205.26,231.47
185.61,185.61,65.51,65.51,218.36,218.36
198.71,185.61,65.51,65.51,231.47,218.36
211.81,198.71,65.51,65.51,244.57,231.47
224.91,211.81,65.51,65.51,257.67,244.57
304.62,224.91,65.51,65.51,337.37,257.67
317.72,224.91,65.51,65.51,350.47,257.67
330.82,224.91,65.51,65.51,363.58,257.67
304.62,211.81,65.51,65.51,337.37,244.57
330.82,211.81,65.51,65.51,363.58,244.57
343.92,211.81,65.51,65.51,376.68,244.57
371.22,185.61,65.51,65.51,403.97,218.36
357.02,185.61,65.51,65.51,389.78,218.36
330.82,185.61,65.51,65.51,363.58,218.36
304.62,198.71,65.51,65.51,337.37,231.47
278.41,198.71,65.51,65.51,311.17,231.47
265.31,330.82,65.51,65.51,298.07,363.58
251.12,317.72,65.51,65.51,283.87,350.47
238.02,317.72,65.51,65.51,270.77,350.47
224.91,330.82,65.51,65.51,257.67,363.58
224.91,330.82,65.51,65.51,257.67,363.58
251.12,330.82,65.51,65.51,283.87,363.58
265.31,343.92,65.51,65.51,298.07,376.68
291.52,317.72,65.51,65.51,324.27,350.47
317.72,317.72,65.51,65.51,350.47,350.47
330.82,317.72,65.51,65.51,363.58,350.47
330.82,317.72,65.51,65.51,363.58,350.47
291.52,330.82,65.51,65.51,324.27,363.58
317.72,343.92,65.51,65.51,350.47,376.68
304.62,330.82,65.51,65.51,337.37,363.58
304.62,357.02,65.51,65.51,337.37,389.78
278.41,343.92,65.51,65.51,311.17,376.68
251.12,357.02,65.51,65.51,283.87,389.78
251.12,330.82,65.51,65.51,283.87,363.58
238.02,343.92,65.51,65.51,270.77,376.68
278.41,357.02,65.51,65.51,311.17,389.78
278.41,410.52,65.51,65.51,311.17,443.28
251.12,397.42,65.51,65.51,283.87,430.18
224.91,371.22,65.51,65.51,257.67,403.97
198.71,330.82,65.51,65.51,231.47,363.58
185.61,304.62,65.51,65.51,218.36,337.37
172.51,265.31,65.51,65.51,205.26,298.07
172.51,224.91,65.51,65.51,205.26,257.67
159.41,185.61,65.51,65.51,192.16,218.36
159.41,145.21,65.51,65.51,192.16,177.97
304.62,397.42,65.51,65.51,337.37,430.18
330.82,384.32,65.51,65.51,363.58,417.07
371.22,357.02,65.51,65.51,403.97,389.78
384.32,317.72,65.51,65.51,417.07,350.47
397.42,291.52,65.51,65.51,430.18,324.27
397.42,251.12,65.51,65.51,430.18,283.87
410.52,211.81,65.51,65.51,443.28,244.57
410.52,185.61,65.51,65.51,443.28,218.36
