66,0
x,y,dx,dy,x_c,y_c
112.00,124.00,19.00,19.00,121.50,133.50
108.00,124.00,19.00,19.00,117.50,133.50
104.00,124.00,19.00,19.00,113.50,133.50
116.00,124.00,19.00,19.00,125.50,133.50
120.00,124.00,19.00,19.00,129.50,133.50
112.00,116.00,19.00,19.00,121.50,125.50
112.00,108.00,19.00,19.00,121.50,117.50
112.00,100.00,19.00,19.00,121.50,109.50
112.00,92.00,19.00,19.00,121.50,101.50
100.00,92.00,19.00,19.00,109.50,101.50
100.00,92.00,19.00,19.00,109.50,101.50
100.00,92.00,19.00,19.00,109.50,101.50
96.00,88.00,19.00,19.00,105.50,97.50
96.00,88.00,19.00,19.00,105.50,97.50
92.00,92.00,19.00,19.00,101.50,101.50
80.00,84.00,19.00,19.00,89.50,93.50
84.00,80.00,19.00,19.00,93.50,89.50
88.00,80.00,19.00,19.00,97.50,89.50
96.00,84.00,19.00,19.00,105.50,93.50
100.00,88.00,19.00,19.00,109.50,97.50
124.00,96.00,19.00,19.00,133.50,105.50
128.00,96.00,19.00,19.00,137.50,105.50
132.00,96.00,19.00,19.00,141.50,105.50
128.00,96.00,19.00,19.00,137.50,105.50
132.00,96.00,19.00,19.00,141.50,105.50
136.00,96.00,19.00,19.00,145.50,105.50
144.00,88.00,19.00,19.00,153.50,97.50
140.00,84.00,19.00,19.00,149.50,93.50
132.00,84.00,19.00,19.00,141.50,93.50
124.00,84.00,19.00,19.00,133.50,93.50
116.00,84.00,19.00,19.00,125.50,93.50
112.00,128.00,19.00,19.00,121.50,137.50
108.00,128.00,19.00,19.00,117.50,137.50
100.00,128.00,19.00,19.00,109.50,137.50
92.00,132.00,19.00,19.00,101.50,141.50
96.00,132.00,19.00,19.00,105.50,141.50
108.00,132.00,19.00,19.00,117.50,141.50
112.00,132.00,19.00,19.00,121.50,141.50
120.00,124.00,19.00,19.00,129.50,133.50
124.00,128.00,19.00,19.00,133.50,137.50
128.00,128.00,19.00,19.00,137.50,137.50
128.00,128.00,19.00,19.00,137.50,137.50
120.00,128.00,19.00,19.00,129.50,137.50
128.00,136.00,19.00,19.00,137.50,145.50
120.00,132.00,19.00,19.00,129.50,141.50
120.00,140.00,19.00,19.00,129.50,149.50
112.00,136.00,19.00,19.00,121.50,145.50
100.00,140.00,19.00,19.00,109.50,149.50
100.00,132.00,19.00,19.00,109.50,141.50
96.00,132.00,19.00,19.00,105.50,141.50
112.00,140.00,19.00,19.00,121.50,149.50
112.00,156.00,19.00,19.00,121.50,165.50
100.00,156.00,19.00,19.00,109.50,165.50
92.00,152.00,19.00,19.00,101.50,161.50
84.00,140.00,19.00,19.00,93.50,149.50
76.00,132.00,19.00,19.00,85.50,141.50
72.00,120.00,19.00,19.00,81.50,129.50
72.00,112.00,19.00,19.00,81.50,121.50
72.00,100.00,19.00,19.00,81.50,109.50
72.00,88.00,19.00,19.00,81.50,97.50
120.00,152.00,19.00,19.00,129.50,161.50
128.00,144.00,19.00,19.00,137.50,153.50
136.00,136.00,19.00,19.00,145.50,145.50
140.00,124.00,19.00,19.00,149.50,133.50
144.00,116.00,19.00,19.00,153.50,125.50
148.00,108.00,19.00,19.00,157.50,117.50
152.00,96.00,19.00,19.00,161.50,105.50
152.00,84.00,19.00,19.00,161.50,93.50
