81,0
x,y,dx,dy,x_c,y_c
265.31,291.52,65.51,65.51,298.07,324.27
251.12,291.52,65.51,65.51,283.87,324.27
251.12,278.41,65.51,65.51,283.87,311.17
278.41,278.41,65.51,65.51,311.17,311.17
278.41,278.41,65.51,65.51,311.17,311.17
265.31,278.41,65.51,65.51,298.07,311.17
265.31,265.31,65.51,65.51,298.07,298.07
265.31,238.02,65.51,65.51,298.07,270.77
265.31,224.91,65.51,65.51,298.07,257.67
224.91,224.91,65.51,65.51,257.67,257.67
211.81,224.91,65.51,65.51,244.57,257.67
198.71,224.91,65.51,65.51,231.47,257.67
211.81,211.81,65.51,65.51,244.57,244.57
198.71,211.81,65.51,65.51,231.47,244.57
185.61,224.91,65.51,65.51,218.36,257.67
145.21,198.71,65.51,65.51,177.97,231.47
159.41,185.61,65.51,65.51,192.16,218.36
185.61,185.61,65.51,65.51,218.36,218.36
211.81,198.71,65.51,65.51,244.57,231.47
224.91,198.71,65.51,65.51,257.67,231.47
304.62,224.91,65.51,65.51,337.37,257.67
317.72,224.91,65.51,65.51,350.47,257.67
330.82,224.91,65.51,65.51,363.58,257.67
304.62,224.91,65.51,65.51,337.37,257.67
317.72,224.91,65.51,65.51,350.47,257.67
330.82,224.91,65.51,65.51,363.58,257.67
357.02,198.71,65.51,65.51,389.78,231.47
343.92,198.71,65.51,65.51,376.68,231.47
317.72,198.71,65.51,65.51,350.47,231.47
304.62,198.71,65.51,65.51,337.37,231.47
278.41,198.71,65.51,65.51,311.17,231.47
265.31,304.62,65.51,65.51,298.07,337.37
251.12,304.62,65.51,65.51,283.87,337.37
238.02,317.72,65.51,65.51,270.77,350.47
224.91,343.92,65.51,65.51,257.67,376.68
238.02,330.82,65.51,65.51,270.77,363.58
251.12,317.72,65.51,65.51,283.87,350.47
265.31,317.72,65.51,65.51,298.07,350.47
291.52,291.52,65.51,65.51,324.27,324.27
317.72,304.62,65.51,65.51,350.47,337.37
330.82,317.72,65.51,65.51,363.58,350.47
330.82,304.62,65.51,65.51,363.58,337.37
304.62,317.72,65.51,65.51,337.37,350.47
317.72,343.92,65.51,65.51,350.47,376.68
291.52,343.92,65.51,65.51,324.27,376.68
291.52,371.22,65.51,65.51,324.27,403.97
251.12,357.02,65.51,65.51,283.87,389.78
224.91,371.22,65.51,65.51,257.67,403.97
224.91,343.92,65.51,65.51,257.67,376.68
211.81,343.92,65.51,65.51,244.57,376.68
251.12,371.22,65.51,65.51,283.87,403.97
251.12,423.63,65.51,65.51,283.87,456.38
211.81,410.52,65.51,65.51,244.57,443.28
185.61,384.32,65.51,65.51,218.36,417.07
159.41,357.02,65.51,65.51,192.16,389.78
132.11,330.82,65.51,65.51,164.86,363.58
119.01,291.52,65.51,65.51,151.76,324.27
105.91,265.31,65.51,65.51,138.66,298.07
92.80,224.91,65.51,65.51,125.56,257.67
92.80,185.61,65.51,65.51,125.56,218.36
278.41,410.52,65.51,65.51,311.17,443.28
304.62,384.32,65.51,65.51,337.37,417.07
330.82,357.02,65.51,65.51,363.58,389.78
343.92,317.72,65.51,65.51,376.68,350.47
357.02,278.41,65.51,65.51,389.78,311.17
371.22,238.02,65.51,65.51,403.97,270.77
384.32,198.71,65.51,65.51,417.07,231.47
384.32,159.41,65.51,65.51,417.07,192.16
