89,0
x,y,dx,dy,x_c,y_c
286.86,328.16,101.57,101.57,337.65,378.95
286.86,328.16,101.57,101.57,337.65,378.95
266.77,308.07,101.57,101.57,317.56,358.86
308.07,328.16,101.57,101.57,358.86,378.95
328.16,328.16,101.57,101.57,378.95,378.95
286.86,308.07,101.57,101.57,337.65,358.86
286.86,286.86,101.57,101.57,337.65,337.65
286.86,246.68,101.57,101.57,337.65,297.47
286.86,225.47,101.57,101.57,337.65,276.26
225.47,225.47,101.57,101.57,276.26,276.26
205.38,225.47,101.57,101.57,256.17,276.26
184.17,225.47,101.57,101.57,234.96,276.26
205.38,225.47,101.57,101.57,256.17,276.26
205.38,225.47,101.57,101.57,256.17,276.26
184.17,246.68,101.57,101.57,234.96,297.47
122.78,225.47,101.57,101.57,173.57,276.26
143.99,205.38,101.57,101.57,194.78,256.17
164.08,184.17,101.57,101.57,214.87,234.96
205.38,184.17,101.57,101.57,256.17,234.96
225.47,184.17,101.57,101.57,276.26,234.96
328.16,225.47,101.57,101.57,378.95,276.26
348.25,246.68,101.57,101.57,399.04,297.47
348.25,246.68,101.57,101.57,399.04,297.47
328.16,205.38,101.57,101.57,378.95,256.17
348.25,205.38,101.57,101.57,399.04,256.17
369.46,205.38,101.57,101.57,420.25,256.17
430.85,164.08,101.57,101.57,481.64,214.87
410.76,164.08,101.57,101.57,461.55,214.87
369.46,164.08,101.57,101.57,420.25,214.87
348.25,164.08,101.57,101.57,399.04,214.87
308.07,164.08,101.57,101.57,358.86,214.87
286.86,348.25,101.57,101.57,337.65,399.04
266.77,348.25,101.57,101.57,317.56,399.04
246.68,369.46,101.57,101.57,297.47,420.25
225.47,389.55,101.57,101.57,276.26,440.34
225.47,389.55,101.57,101.57,276.26,440.34
266.77,369.46,101.57,101.57,317.56,420.25
286.86,369.46,101.57,101.57,337.65,420.25
328.16,328.16,101.57,101.57,378.95,378.95
369.46,348.25,101.57,101.57,420.25,399.04
389.55,348.25,101.57,101.57,440.34,399.04
389.55,348.25,101.57,101.57,440.34,399.04
348.25,348.25,101.57,101.57,399.04,399.04
369.46,389.55,101.57,101.57,420.25,440.34
348.25,369.46,101.57,101.57,399.04,420.25
348.25,410.76,101.57,101.57,399.04,461.55
308.07,389.55,101.57,101.57,358.86,440.34
246.68,410.76,101.57,101.57,297.47,461.55
246.68,369.46,101.57,101.57,297.47,420.25
225.47,389.55,101.57,101.57,276.26,440.34
308.07,410.76,101.57,101.57,358.86,461.55
308.07,512.33,101.57,101.57,358.86,563.12
266.77,492.24,101.57,101.57,317.56,543.03
225.47,450.94,101.57,101.57,276.26,501.73
184.17,410.76,101.57,101.57,234.96,461.55
143.99,369.46,101.57,101.57,194.78,420.25
122.78,308.07,101.57,101.57,173.57,358.86
102.69,246.68,101.57,101.57,153.48,297.47
82.60,184.17,101.57,101.57,133.39,234.96
82.60,122.78,101.57,101.57,133.39,173.57
348.25,492.24,101.57,101.57,399.04,543.03
389.55,472.15,101.57,101.57,440.34,522.94
410.76,450.94,101.57,101.57,461.55,501.73
430.85,389.55,101.57,101.57,481.64,440.34
430.85,328.16,101.57,101.57,481.64,378.95
430.85,266.77,101.57,101.57,481.64,317.56
430.85,205.38,101.57,101.57,481.64,256.17
430.85,143.99,101.57,101.57,481.64,194.78
