142,30
x,y,dx,dy,x_c,y_c
200.73,301.09,99.27,99.27,250.36,350.73
200.73,301.09,99.27,99.27,250.36,350.73
180.00,301.09,99.27,99.27,229.64,350.73
220.36,301.09,99.27,99.27,270.00,350.73
241.09,301.09,99.27,99.27,290.73,350.73
180.00,260.73,99.27,99.27,229.64,310.36
180.00,241.09,99.27,99.27,229.64,290.73
200.73,200.73,99.27,99.27,250.36,250.36
200.73,180.00,99.27,99.27,250.36,229.64
160.36,180.00,99.27,99.27,210.00,229.64
160.36,180.00,99.27,99.27,210.00,229.64
140.73,180.00,99.27,99.27,190.36,229.64
140.73,180.00,99.27,99.27,190.36,229.64
140.73,160.36,99.27,99.27,190.36,210.00
140.73,180.00,99.27,99.27,190.36,229.64
120.00,140.73,99.27,99.27,169.64,190.36
140.73,140.73,99.27,99.27,190.36,190.36
160.36,120.00,99.27,99.27,210.00,169.64
180.00,140.73,99.27,99.27,229.64,190.36
180.00,140.73,99.27,99.27,229.64,190.36
260.73,180.00,99.27,99.27,310.36,229.64
280.36,200.73,99.27,99.27,330.00,250.36
280.36,200.73,99.27,99.27,330.00,250.36
260.73,180.00,99.27,99.27,310.36,229.64
280.36,180.00,99.27,99.27,330.00,229.64
301.09,180.00,99.27,99.27,350.73,229.64
361.09,140.73,99.27,99.27,410.73,190.36
340.36,140.73,99.27,99.27,390.00,190.36
301.09,140.73,99.27,99.27,350.73,190.36
260.73,140.73,99.27,99.27,310.36,190.36
220.36,140.73,99.27,99.27,270.00,190.36
200.73,320.73,99.27,99.27,250.36,370.36
200.73,301.09,99.27,99.27,250.36,350.73
180.00,301.09,99.27,99.27,229.64,350.73
180.00,320.73,99.27,99.27,229.64,370.36
180.00,301.09,99.27,99.27,229.64,350.73
200.73,301.09,99.27,99.27,250.36,350.73
200.73,320.73,99.27,99.27,250.36,370.36
241.09,301.09,99.27,99.27,290.73,350.73
280.36,301.09,99.27,99.27,330.00,350.73
301.09,320.73,99.27,99.27,350.73,370.36
280.36,320.73,99.27,99.27,330.00,370.36
241.09,301.09,99.27,99.27,290.73,350.73
280.36,340.36,99.27,99.27,330.00,390.00
241.09,301.09,99.27,99.27,290.73,350.73
241.09,340.36,99.27,99.27,290.73,390.00
200.73,301.09,99.27,99.27,250.36,350.73
180.00,340.36,99.27,99.27,229.64,390.00
180.00,301.09,99.27,99.27,229.64,350.73
180.00,320.73,99.27,99.27,229.64,370.36
200.73,340.36,99.27,99.27,250.36,390.00
200.73,440.73,99.27,99.27,250.36,490.36
180.00,421.09,99.27,99.27,229.64,470.73
160.36,401.45,99.27,99.27,210.00,451.09
160.36,380.73,99.27,99.27,210.00,430.36
140.73,340.36,99.27,99.27,190.36,390.00
140.73,301.09,99.27,99.27,190.36,350.73
140.73,280.36,99.27,99.27,190.36,330.00
120.00,241.09,99.27,99.27,169.64,290.73
120.00,220.36,99.27,99.27,169.64,270.00
241.09,421.09,99.27,99.27,290.73,470.73
301.09,401.45,99.27,99.27,350.73,451.09
340.36,380.73,99.27,99.27,390.00,430.36
380.73,340.36,99.27,99.27,430.36,390.00
401.45,301.09,99.27,99.27,451.09,350.73
421.09,260.73,99.27,99.27,470.73,310.36
421.09,200.73,99.27,99.27,470.73,250.36
440.73,160.36,99.27,99.27,490.36,210.00
