82,0
x,y,dx,dy,x_c,y_c
244.85,340.32,67.39,67.39,278.54,374.01
231.37,340.32,67.39,67.39,265.07,374.01
217.89,340.32,67.39,67.39,251.59,374.01
258.33,340.32,67.39,67.39,292.02,374.01
272.93,340.32,67.39,67.39,306.62,374.01
244.85,313.36,67.39,67.39,278.54,347.06
244.85,286.41,67.39,67.39,278.54,320.10
244.85,258.33,67.39,67.39,278.54,292.02
258.33,231.37,67.39,67.39,292.02,265.07
217.89,231.37,67.39,67.39,251.59,265.07
217.89,231.37,67.39,67.39,251.59,265.07
217.89,231.37,67.39,67.39,251.59,265.07
204.42,217.89,67.39,67.39,238.11,251.59
204.42,217.89,67.39,67.39,238.11,251.59
190.94,217.89,67.39,67.39,224.63,251.59
149.38,190.94,67.39,67.39,183.08,224.63
163.98,177.46,67.39,67.39,197.68,211.15
177.46,163.98,67.39,67.39,211.15,197.68
204.42,177.46,67.39,67.39,238.11,211.15
217.89,190.94,67.39,67.39,251.59,224.63
299.88,231.37,67.39,67.39,333.58,265.07
313.36,244.85,67.39,67.39,347.06,278.54
326.84,244.85,67.39,67.39,360.53,278.54
313.36,231.37,67.39,67.39,347.06,265.07
326.84,231.37,67.39,67.39,360.53,265.07
340.32,231.37,67.39,67.39,374.01,265.07
367.27,204.42,67.39,67.39,400.97,238.11
353.80,204.42,67.39,67.39,387.49,238.11
326.84,204.42,67.39,67.39,360.53,238.11
313.36,204.42,67.39,67.39,347.06,238.11
286.41,204.42,67.39,67.39,320.10,238.11
244.85,353.80,67.39,67.39,278.54,387.49
231.37,381.87,67.39,67.39,265.07,415.57
217.89,408.83,67.39,67.39,251.59,442.52
204.42,435.79,67.39,67.39,238.11,469.48
217.89,435.79,67.39,67.39,251.59,469.48
231.37,395.35,67.39,67.39,265.07,429.05
244.85,367.27,67.39,67.39,278.54,400.97
272.93,340.32,67.39,67.39,306.62,374.01
286.41,340.32,67.39,67.39,320.10,374.01
299.88,353.80,67.39,67.39,333.58,387.49
286.41,353.80,67.39,67.39,320.10,387.49
272.93,353.80,67.39,67.39,306.62,387.49
299.88,367.27,67.39,67.39,333.58,400.97
272.93,353.80,67.39,67.39,306.62,387.49
272.93,381.87,67.39,67.39,306.62,415.57
244.85,367.27,67.39,67.39,278.54,400.97
231.37,381.87,67.39,67.39,265.07,415.57
231.37,367.27,67.39,67.39,265.07,400.97
217.89,381.87,67.39,67.39,251.59,415.57
244.85,381.87,67.39,67.39,278.54,415.57
258.33,435.79,67.39,67.39,292.02,469.48
217.89,435.79,67.39,67.39,251.59,469.48
190.94,408.83,67.39,67.39,224.63,442.52
163.98,367.27,67.39,67.39,197.68,400.97
135.90,326.84,67.39,67.39,169.60,360.53
122.42,286.41,67.39,67.39,156.12,320.10
122.42,258.33,67.39,67.39,156.12,292.02
108.95,217.89,67.39,67.39,142.64,251.59
108.95,177.46,67.39,67.39,142.64,211.15
286.41,422.31,67.39,67.39,320.10,456.00
313.36,395.35,67.39,67.39,347.06,429.05
340.32,367.27,67.39,67.39,374.01,400.97
353.80,326.84,67.39,67.39,387.49,360.53
367.27,299.88,67.39,67.39,400.97,333.58
367.27,258.33,67.39,67.39,400.97,292.02
381.87,217.89,67.39,67.39,415.57,251.59
381.87,190.94,67.39,67.39,415.57,224.63
