114,0
x,y,dx,dy,x_c,y_c
244.57,279.51,86.25,86.25,287.69,322.63
227.10,279.51,86.25,86.25,270.22,322.63
209.63,279.51,86.25,86.25,252.76,322.63
262.04,279.51,86.25,86.25,305.16,322.63
279.51,279.51,86.25,86.25,322.63,322.63
262.04,262.04,86.25,86.25,305.16,305.16
279.51,244.57,86.25,86.25,322.63,287.69
279.51,209.63,86.25,86.25,322.63,252.76
279.51,192.16,86.25,86.25,322.63,235.29
227.10,192.16,86.25,86.25,270.22,235.29
209.63,192.16,86.25,86.25,252.76,235.29
192.16,192.16,86.25,86.25,235.29,235.29
209.63,174.69,86.25,86.25,252.76,217.82
192.16,174.69,86.25,86.25,235.29,217.82
174.69,192.16,86.25,86.25,217.82,235.29
139.75,157.22,86.25,86.25,182.88,200.35
157.22,139.75,86.25,86.25,200.35,182.88
192.16,139.75,86.25,86.25,235.29,182.88
227.10,139.75,86.25,86.25,270.22,182.88
262.04,157.22,86.25,86.25,305.16,200.35
331.91,192.16,86.25,86.25,375.04,235.29
349.38,192.16,86.25,86.25,392.51,235.29
366.85,192.16,86.25,86.25,409.98,235.29
331.91,192.16,86.25,86.25,375.04,235.29
349.38,192.16,86.25,86.25,392.51,235.29
349.38,192.16,86.25,86.25,392.51,235.29
384.32,157.22,86.25,86.25,427.45,200.35
366.85,157.22,86.25,86.25,409.98,200.35
349.38,157.22,86.25,86.25,392.51,200.35
331.91,157.22,86.25,86.25,375.04,200.35
314.44,157.22,86.25,86.25,357.57,200.35
244.57,296.97,86.25,86.25,287.69,340.10
227.10,296.97,86.25,86.25,270.22,340.10
209.63,314.44,86.25,86.25,252.76,357.57
192.16,331.91,86.25,86.25,235.29,375.04
209.63,331.91,86.25,86.25,252.76,375.04
227.10,314.44,86.25,86.25,270.22,357.57
244.57,314.44,86.25,86.25,287.69,357.57
279.51,279.51,86.25,86.25,322.63,322.63
296.97,296.97,86.25,86.25,340.10,340.10
314.44,296.97,86.25,86.25,357.57,340.10
314.44,296.97,86.25,86.25,357.57,340.10
296.97,296.97,86.25,86.25,340.10,340.10
314.44,331.91,86.25,86.25,357.57,375.04
296.97,314.44,86.25,86.25,340.10,357.57
296.97,349.38,86.25,86.25,340.10,392.51
262.04,331.91,86.25,86.25,305.16,375.04
227.10,349.38,86.25,86.25,270.22,392.51
227.10,314.44,86.25,86.25,270.22,357.57
209.63,331.91,86.25,86.25,252.76,375.04
262.04,349.38,86.25,86.25,305.16,392.51
262.04,436.73,86.25,86.25,305.16,479.85
209.63,419.26,86.25,86.25,252.76,462.38
174.69,401.79,86.25,86.25,217.82,444.92
139.75,366.85,86.25,86.25,182.88,409.98
122.28,331.91,86.25,86.25,165.41,375.04
104.81,296.97,86.25,86.25,147.94,340.10
87.35,262.04,86.25,86.25,130.47,305.16
69.88,209.63,86.25,86.25,113.00,252.76
69.88,174.69,86.25,86.25,113.00,217.82
296.97,436.73,86.25,86.25,340.10,479.85
331.91,401.79,86.25,86.25,375.04,444.92
349.38,366.85,86.25,86.25,392.51,409.98
366.85,314.44,86.25,86.25,409.98,357.57
384.32,279.51,86.25,86.25,427.45,322.63
401.79,227.10,86.25,86.25,444.92,270.22
401.79,174.69,86.25,86.25,444.92,217.82
401.79,122.28,86.25,86.25,444.92,165.41
