92,0
x,y,dx,dy,x_c,y_c
224.00,288.00,79.00,79.00,263.50,327.50
224.00,288.00,79.00,79.00,263.50,327.50
224.00,288.00,79.00,79.00,263.50,327.50
240.00,288.00,79.00,79.00,279.50,327.50
256.00,288.00,79.00,79.00,295.50,327.50
224.00,256.00,79.00,79.00,263.50,295.50
224.00,240.00,79.00,79.00,263.50,279.50
224.00,208.00,79.00,79.00,263.50,247.50
224.00,192.00,79.00,79.00,263.50,231.50
176.00,192.00,79.00,79.00,215.50,231.50
160.00,192.00,79.00,79.00,199.50,231.50
160.00,192.00,79.00,79.00,199.50,231.50
160.00,192.00,79.00,79.00,199.50,231.50
160.00,192.00,79.00,79.00,199.50,231.50
144.00,192.00,79.00,79.00,183.50,231.50
112.00,160.00,79.00,79.00,151.50,199.50
128.00,144.00,79.00,79.00,167.50,183.50
144.00,128.00,79.00,79.00,183.50,167.50
160.00,144.00,79.00,79.00,199.50,183.50
176.00,160.00,79.00,79.00,215.50,199.50
256.00,192.00,79.00,79.00,295.50,231.50
272.00,192.00,79.00,79.00,311.50,231.50
288.00,192.00,79.00,79.00,327.50,231.50
272.00,176.00,79.00,79.00,311.50,215.50
288.00,176.00,79.00,79.00,327.50,215.50
304.00,160.00,79.00,79.00,343.50,199.50
336.00,128.00,79.00,79.00,375.50,167.50
320.00,128.00,79.00,79.00,359.50,167.50
288.00,128.00,79.00,79.00,327.50,167.50
256.00,128.00,79.00,79.00,295.50,167.50
224.00,144.00,79.00,79.00,263.50,183.50
240.00,304.00,79.00,79.00,279.50,343.50
224.00,304.00,79.00,79.00,263.50,343.50
208.00,304.00,79.00,79.00,247.50,343.50
208.00,320.00,79.00,79.00,247.50,359.50
208.00,320.00,79.00,79.00,247.50,359.50
224.00,304.00,79.00,79.00,263.50,343.50
240.00,320.00,79.00,79.00,279.50,359.50
272.00,288.00,79.00,79.00,311.50,327.50
304.00,304.00,79.00,79.00,343.50,343.50
320.00,320.00,79.00,79.00,359.50,359.50
304.00,304.00,79.00,79.00,343.50,343.50
272.00,304.00,79.00,79.00,311.50,343.50
304.00,336.00,79.00,79.00,343.50,375.50
288.00,320.00,79.00,79.00,327.50,359.50
288.00,336.00,79.00,79.00,327.50,375.50
256.00,320.00,79.00,79.00,295.50,359.50
224.00,336.00,79.00,79.00,263.50,375.50
224.00,304.00,79.00,79.00,263.50,343.50
208.00,320.00,79.00,79.00,247.50,359.50
272.00,336.00,79.00,79.00,311.50,375.50
272.00,416.00,79.00,79.00,311.50,455.50
256.00,384.00,79.00,79.00,295.50,423.50
224.00,352.00,79.00,79.00,263.50,391.50
192.00,320.00,79.00,79.00,231.50,359.50
160.00,288.00,79.00,79.00,199.50,327.50
144.00,240.00,79.00,79.00,183.50,279.50
144.00,208.00,79.00,79.00,183.50,247.50
128.00,144.00,79.00,79.00,167.50,183.50
128.00,96.00,79.00,79.00,167.50,135.50
304.00,400.00,79.00,79.00,343.50,439.50
336.00,384.00,79.00,79.00,375.50,423.50
368.00,352.00,79.00,79.00,407.50,391.50
384.00,304.00,79.00,79.00,423.50,343.50
400.00,256.00,79.00,79.00,439.50,295.50
416.00,208.00,79.00,79.00,455.50,247.50
416.00,160.00,79.00,79.00,455.50,199.50
416.00,112.00,79.00,79.00,455.50,151.50
