98,15
x,y,dx,dy,x_c,y_c
278.12,309.15,76.46,76.46,316.35,347.37
262.61,309.15,76.46,76.46,300.83,347.37
247.09,309.15,76.46,76.46,285.32,347.37
278.12,309.15,76.46,76.46,316.35,347.37
293.63,309.15,76.46,76.46,331.86,347.37
262.61,262.61,76.46,76.46,300.83,300.83
262.61,247.09,76.46,76.46,300.83,285.32
262.61,216.07,76.46,76.46,300.83,254.30
262.61,200.56,76.46,76.46,300.83,238.78
231.58,200.56,76.46,76.46,269.81,238.78
231.58,200.56,76.46,76.46,269.81,238.78
216.07,200.56,76.46,76.46,254.30,238.78
231.58,185.04,76.46,76.46,269.81,223.27
216.07,185.04,76.46,76.46,254.30,223.27
200.56,200.56,76.46,76.46,238.78,238.78
169.53,154.02,76.46,76.46,207.76,192.25
185.04,138.51,76.46,76.46,223.27,176.73
200.56,138.51,76.46,76.46,238.78,176.73
216.07,138.51,76.46,76.46,254.30,176.73
231.58,138.51,76.46,76.46,269.81,176.73
309.15,200.56,76.46,76.46,347.37,238.78
324.66,200.56,76.46,76.46,362.89,238.78
339.06,200.56,76.46,76.46,377.29,238.78
324.66,200.56,76.46,76.46,362.89,238.78
339.06,200.56,76.46,76.46,377.29,238.78
354.58,216.07,76.46,76.46,392.80,254.30
385.60,185.04,76.46,76.46,423.83,223.27
370.09,169.53,76.46,76.46,408.32,207.76
339.06,154.02,76.46,76.46,377.29,192.25
309.15,154.02,76.46,76.46,347.37,192.25
278.12,154.02,76.46,76.46,316.35,192.25
262.61,324.66,76.46,76.46,300.83,362.89
262.61,324.66,76.46,76.46,300.83,362.89
247.09,339.06,76.46,76.46,285.32,377.29
231.58,354.58,76.46,76.46,269.81,392.80
247.09,354.58,76.46,76.46,285.32,392.80
262.61,339.06,76.46,76.46,300.83,377.29
262.61,339.06,76.46,76.46,300.83,377.29
293.63,324.66,76.46,76.46,331.86,362.89
309.15,324.66,76.46,76.46,347.37,362.89
339.06,339.06,76.46,76.46,377.29,377.29
309.15,339.06,76.46,76.46,347.37,377.29
293.63,339.06,76.46,76.46,331.86,377.29
324.66,354.58,76.46,76.46,362.89,392.80
293.63,339.06,76.46,76.46,331.86,377.29
293.63,354.58,76.46,76.46,331.86,392.80
262.61,324.66,76.46,76.46,300.83,362.89
247.09,354.58,76.46,76.46,285.32,392.80
247.09,339.06,76.46,76.46,285.32,377.29
231.58,370.09,76.46,76.46,269.81,408.32
262.61,354.58,76.46,76.46,300.83,392.80
262.61,432.14,76.46,76.46,300.83,470.37
231.58,416.63,76.46,76.46,269.81,454.85
216.07,401.11,76.46,76.46,254.30,439.34
200.56,370.09,76.46,76.46,238.78,408.32
185.04,339.06,76.46,76.46,223.27,377.29
169.53,309.15,76.46,76.46,207.76,347.37
154.02,278.12,76.46,76.46,192.25,316.35
154.02,247.09,76.46,76.46,192.25,285.32
154.02,216.07,76.46,76.46,192.25,254.30
293.63,416.63,76.46,76.46,331.86,454.85
324.66,401.11,76.46,76.46,362.89,439.34
354.58,385.60,76.46,76.46,392.80,423.83
370.09,370.09,76.46,76.46,408.32,408.32
385.60,339.06,76.46,76.46,423.83,377.29
385.60,293.63,76.46,76.46,423.83,331.86
401.11,247.09,76.46,76.46,439.34,285.32
416.63,216.07,76.46,76.46,454.85,254.30
