110,0
x,y,dx,dy,x_c,y_c
211.00,211.00,52.00,52.00,237.00,237.00
201.00,211.00,52.00,52.00,227.00,237.00
190.00,211.00,52.00,52.00,216.00,237.00
222.00,201.00,52.00,52.00,248.00,227.00
232.00,201.00,52.00,52.00,258.00,227.00
211.00,190.00,52.00,52.00,237.00,216.00
211.00,169.00,52.00,52.00,237.00,195.00
211.00,148.00,52.00,52.00,237.00,174.00
211.00,137.00,52.00,52.00,237.00,163.00
179.00,137.00,52.00,52.00,205.00,163.00
169.00,137.00,52.00,52.00,195.00,163.00
158.00,137.00,52.00,52.00,184.00,163.00
169.00,127.00,52.00,52.00,195.00,153.00
158.00,127.00,52.00,52.00,184.00,153.00
148.00,137.00,52.00,52.00,174.00,163.00
127.00,116.00,52.00,52.00,153.00,142.00
137.00,106.00,52.00,52.00,163.00,132.00
148.00,95.00,52.00,52.00,174.00,121.00
169.00,95.00,52.00,52.00,195.00,121.00
190.00,106.00,52.00,52.00,216.00,132.00
243.00,137.00,52.00,52.00,269.00,163.00
253.00,137.00,52.00,52.00,279.00,163.00
264.00,137.00,52.00,52.00,290.00,163.00
243.00,127.00,52.00,52.00,269.00,153.00
253.00,127.00,52.00,52.00,279.00,153.00
264.00,127.00,52.00,52.00,290.00,153.00
285.00,106.00,52.00,52.00,311.00,132.00
274.00,95.00,52.00,52.00,300.00,121.00
253.00,95.00,52.00,52.00,279.00,121.00
243.00,95.00,52.00,52.00,269.00,121.00
222.00,95.00,52.00,52.00,248.00,121.00
211.00,222.00,52.00,52.00,237.00,248.00
190.00,222.00,52.00,52.00,216.00,248.00
179.00,232.00,52.00,52.00,205.00,258.00
169.00,243.00,52.00,52.00,195.00,269.00
169.00,243.00,52.00,52.00,195.00,269.00
190.00,232.00,52.00,52.00,216.00,258.00
211.00,232.00,52.00,52.00,237.00,258.00
232.00,222.00,52.00,52.00,258.00,248.00
243.00,232.00,52.00,52.00,269.00,258.00
253.00,243.00,52.00,52.00,279.00,269.00
243.00,232.00,52.00,52.00,269.00,258.00
232.00,232.00,52.00,52.00,258.00,258.00
243.00,264.00,52.00,52.00,269.00,290.00
222.00,253.00,52.00,52.00,248.00,279.00
222.00,274.00,52.00,52.00,248.00,300.00
201.00,264.00,52.00,52.00,227.00,290.00
179.00,274.00,52.00,52.00,205.00,300.00
179.00,253.00,52.00,52.00,205.00,279.00
169.00,264.00,52.00,52.00,195.00,290.00
201.00,274.00,52.00,52.00,227.00,300.00
201.00,327.00,52.00,52.00,227.00,353.00
169.00,317.00,52.00,52.00,195.00,343.00
148.00,306.00,52.00,52.00,174.00,332.00
127.00,296.00,52.00,52.00,153.00,322.00
106.00,285.00,52.00,52.00,132.00,311.00
95.00,264.00,52.00,52.00,121.00,290.00
84.00,243.00,52.00,52.00,110.00,269.00
74.00,211.00,52.00,52.00,100.00,237.00
74.00,190.00,52.00,52.00,100.00,216.00
222.00,317.00,52.00,52.00,248.00,343.00
243.00,306.00,52.00,52.00,269.00,332.00
274.00,296.00,52.00,52.00,300.00,322.00
285.00,264.00,52.00,52.00,311.00,290.00
296.00,243.00,52.00,52.00,322.00,269.00
296.00,222.00,52.00,52.00,322.00,248.00
306.00,190.00,52.00,52.00,332.00,216.00
306.00,169.00,52.00,52.00,332.00,195.00
