103,0
x,y,dx,dy,x_c,y_c
266.71,283.37,82.30,82.30,307.86,324.53
250.04,283.37,82.30,82.30,291.19,324.53
250.04,283.37,82.30,82.30,291.19,324.53
283.37,283.37,82.30,82.30,324.53,324.53
283.37,283.37,82.30,82.30,324.53,324.53
266.71,250.04,82.30,82.30,307.86,291.19
266.71,233.37,82.30,82.30,307.86,274.52
266.71,200.03,82.30,82.30,307.86,241.18
266.71,183.36,82.30,82.30,307.86,224.51
216.70,183.36,82.30,82.30,257.85,224.51
216.70,183.36,82.30,82.30,257.85,224.51
200.03,200.03,82.30,82.30,241.18,241.18
200.03,183.36,82.30,82.30,241.18,224.51
183.36,183.36,82.30,82.30,224.51,224.51
166.69,200.03,82.30,82.30,207.84,241.18
116.68,183.36,82.30,82.30,157.84,224.51
133.35,166.69,82.30,82.30,174.50,207.84
166.69,150.02,82.30,82.30,207.84,191.17
200.03,150.02,82.30,82.30,241.18,191.17
233.37,150.02,82.30,82.30,274.52,191.17
300.04,183.36,82.30,82.30,341.20,224.51
316.71,183.36,82.30,82.30,357.86,224.51
316.71,183.36,82.30,82.30,357.86,224.51
316.71,183.36,82.30,82.30,357.86,224.51
316.71,183.36,82.30,82.30,357.86,224.51
333.38,183.36,82.30,82.30,374.53,224.51
366.72,150.02,82.30,82.30,407.87,191.17
350.05,150.02,82.30,82.30,391.20,191.17
333.38,133.35,82.30,82.30,374.53,174.50
316.71,133.35,82.30,82.30,357.86,174.50
283.37,133.35,82.30,82.30,324.53,174.50
266.71,300.04,82.30,82.30,307.86,341.20
250.04,300.04,82.30,82.30,291.19,341.20
216.70,300.04,82.30,82.30,257.85,341.20
200.03,316.71,82.30,82.30,241.18,357.86
200.03,316.71,82.30,82.30,241.18,357.86
250.04,316.71,82.30,82.30,291.19,357.86
266.71,316.71,82.30,82.30,307.86,357.86
283.37,283.37,82.30,82.30,324.53,324.53
300.04,300.04,82.30,82.30,341.20,341.20
316.71,300.04,82.30,82.30,357.86,341.20
300.04,300.04,82.30,82.30,341.20,341.20
300.04,300.04,82.30,82.30,341.20,341.20
300.04,333.38,82.30,82.30,341.20,374.53
283.37,316.71,82.30,82.30,324.53,357.86
283.37,350.05,82.30,82.30,324.53,391.20
250.04,333.38,82.30,82.30,291.19,374.53
216.70,350.05,82.30,82.30,257.85,391.20
216.70,316.71,82.30,82.30,257.85,357.86
200.03,333.38,82.30,82.30,241.18,374.53
250.04,350.05,82.30,82.30,291.19,391.20
250.04,433.40,82.30,82.30,291.19,474.55
216.70,416.73,82.30,82.30,257.85,457.88
183.36,400.06,82.30,82.30,224.51,441.21
150.02,366.72,82.30,82.30,191.17,407.87
116.68,350.05,82.30,82.30,157.84,391.20
100.01,316.71,82.30,82.30,141.17,357.86
83.35,283.37,82.30,82.30,124.50,324.53
66.68,233.37,82.30,82.30,107.83,274.52
66.68,200.03,82.30,82.30,107.83,241.18
283.37,416.73,82.30,82.30,324.53,457.88
316.71,383.39,82.30,82.30,357.86,424.54
350.05,350.05,82.30,82.30,391.20,391.20
366.72,300.04,82.30,82.30,407.87,341.20
383.39,266.71,82.30,82.30,424.54,307.86
383.39,233.37,82.30,82.30,424.54,274.52
400.06,183.36,82.30,82.30,441.21,224.51
400.06,150.02,82.30,82.30,441.21,191.17
