118,0
x,y,dx,dy,x_c,y_c
223.00,265.00,69.00,69.00,257.50,299.50
209.00,265.00,69.00,69.00,243.50,299.50
195.00,265.00,69.00,69.00,229.50,299.50
237.00,265.00,69.00,69.00,271.50,299.50
237.00,265.00,69.00,69.00,271.50,299.50
223.00,237.00,69.00,69.00,257.50,271.50
223.00,223.00,69.00,69.00,257.50,257.50
223.00,195.00,69.00,69.00,257.50,229.50
223.00,181.00,69.00,69.00,257.50,215.50
181.00,181.00,69.00,69.00,215.50,215.50
181.00,181.00,69.00,69.00,215.50,215.50
167.00,181.00,69.00,69.00,201.50,215.50
167.00,167.00,69.00,69.00,201.50,201.50
167.00,167.00,69.00,69.00,201.50,201.50
153.00,181.00,69.00,69.00,187.50,215.50
125.00,167.00,69.00,69.00,159.50,201.50
139.00,139.00,69.00,69.00,173.50,173.50
153.00,125.00,69.00,69.00,187.50,159.50
181.00,139.00,69.00,69.00,215.50,173.50
195.00,139.00,69.00,69.00,229.50,173.50
265.00,181.00,69.00,69.00,299.50,215.50
279.00,181.00,69.00,69.00,313.50,215.50
279.00,181.00,69.00,69.00,313.50,215.50
265.00,167.00,69.00,69.00,299.50,201.50
279.00,167.00,69.00,69.00,313.50,201.50
293.00,167.00,69.00,69.00,327.50,201.50
320.00,139.00,69.00,69.00,354.50,173.50
306.00,139.00,69.00,69.00,340.50,173.50
293.00,139.00,69.00,69.00,327.50,173.50
279.00,139.00,69.00,69.00,313.50,173.50
251.00,139.00,69.00,69.00,285.50,173.50
223.00,279.00,69.00,69.00,257.50,313.50
195.00,265.00,69.00,69.00,229.50,299.50
167.00,279.00,69.00,69.00,201.50,313.50
153.00,306.00,69.00,69.00,187.50,340.50
167.00,293.00,69.00,69.00,201.50,327.50
195.00,279.00,69.00,69.00,229.50,313.50
223.00,293.00,69.00,69.00,257.50,327.50
251.00,265.00,69.00,69.00,285.50,299.50
265.00,279.00,69.00,69.00,299.50,313.50
265.00,293.00,69.00,69.00,299.50,327.50
279.00,279.00,69.00,69.00,313.50,313.50
251.00,279.00,69.00,69.00,285.50,313.50
251.00,320.00,69.00,69.00,285.50,354.50
237.00,306.00,69.00,69.00,271.50,340.50
237.00,334.00,69.00,69.00,271.50,368.50
195.00,320.00,69.00,69.00,229.50,354.50
167.00,334.00,69.00,69.00,201.50,368.50
167.00,306.00,69.00,69.00,201.50,340.50
153.00,306.00,69.00,69.00,187.50,340.50
195.00,334.00,69.00,69.00,229.50,368.50
209.00,404.00,69.00,69.00,243.50,438.50
167.00,418.00,69.00,69.00,201.50,452.50
139.00,404.00,69.00,69.00,173.50,438.50
111.00,376.00,69.00,69.00,145.50,410.50
98.00,362.00,69.00,69.00,132.50,396.50
84.00,334.00,69.00,69.00,118.50,368.50
84.00,306.00,69.00,69.00,118.50,340.50
84.00,265.00,69.00,69.00,118.50,299.50
84.00,223.00,69.00,69.00,118.50,257.50
237.00,390.00,69.00,69.00,271.50,424.50
265.00,362.00,69.00,69.00,299.50,396.50
293.00,334.00,69.00,69.00,327.50,368.50
306.00,293.00,69.00,69.00,340.50,327.50
320.00,265.00,69.00,69.00,354.50,299.50
334.00,237.00,69.00,69.00,368.50,271.50
334.00,195.00,69.00,69.00,368.50,229.50
334.00,167.00,69.00,69.00,368.50,201.50
