109,0
x,y,dx,dy,x_c,y_c
251.00,279.00,69.00,69.00,285.50,313.50
237.00,279.00,69.00,69.00,271.50,313.50
223.00,279.00,69.00,69.00,257.50,313.50
265.00,279.00,69.00,69.00,299.50,313.50
279.00,279.00,69.00,69.00,313.50,313.50
251.00,251.00,69.00,69.00,285.50,285.50
251.00,223.00,69.00,69.00,285.50,257.50
251.00,195.00,69.00,69.00,285.50,229.50
251.00,181.00,69.00,69.00,285.50,215.50
209.00,181.00,69.00,69.00,243.50,215.50
195.00,181.00,69.00,69.00,229.50,215.50
181.00,181.00,69.00,69.00,215.50,215.50
195.00,167.00,69.00,69.00,229.50,201.50
181.00,167.00,69.00,69.00,215.50,201.50
167.00,181.00,69.00,69.00,201.50,215.50
139.00,153.00,69.00,69.00,173.50,187.50
153.00,139.00,69.00,69.00,187.50,173.50
181.00,125.00,69.00,69.00,215.50,159.50
209.00,139.00,69.00,69.00,243.50,173.50
237.00,153.00,69.00,69.00,271.50,187.50
293.00,181.00,69.00,69.00,327.50,215.50
306.00,181.00,69.00,69.00,340.50,215.50
320.00,181.00,69.00,69.00,354.50,215.50
306.00,167.00,69.00,69.00,340.50,201.50
320.00,167.00,69.00,69.00,354.50,201.50
334.00,167.00,69.00,69.00,368.50,201.50
362.00,139.00,69.00,69.00,396.50,173.50
348.00,139.00,69.00,69.00,382.50,173.50
320.00,139.00,69.00,69.00,354.50,173.50
306.00,139.00,69.00,69.00,340.50,173.50
279.00,139.00,69.00,69.00,313.50,173.50
251.00,293.00,69.00,69.00,285.50,327.50
237.00,293.00,69.00,69.00,271.50,327.50
209.00,306.00,69.00,69.00,243.50,340.50
195.00,334.00,69.00,69.00,229.50,368.50
209.00,320.00,69.00,69.00,243.50,354.50
237.00,306.00,69.00,69.00,271.50,340.50
251.00,306.00,69.00,69.00,285.50,340.50
279.00,279.00,69.00,69.00,313.50,313.50
293.00,293.00,69.00,69.00,327.50,327.50
293.00,306.00,69.00,69.00,327.50,340.50
293.00,306.00,69.00,69.00,327.50,340.50
293.00,293.00,69.00,69.00,327.50,327.50
279.00,320.00,69.00,69.00,313.50,354.50
251.00,306.00,69.00,69.00,285.50,340.50
251.00,334.00,69.00,69.00,285.50,368.50
223.00,320.00,69.00,69.00,257.50,354.50
195.00,334.00,69.00,69.00,229.50,368.50
195.00,306.00,69.00,69.00,229.50,340.50
181.00,320.00,69.00,69.00,215.50,354.50
223.00,348.00,69.00,69.00,257.50,382.50
237.00,418.00,69.00,69.00,271.50,452.50
195.00,404.00,69.00,69.00,229.50,438.50
167.00,390.00,69.00,69.00,201.50,424.50
139.00,362.00,69.00,69.00,173.50,396.50
111.00,348.00,69.00,69.00,145.50,382.50
98.00,320.00,69.00,69.00,132.50,354.50
84.00,293.00,69.00,69.00,118.50,327.50
84.00,251.00,69.00,69.00,118.50,285.50
84.00,209.00,69.00,69.00,118.50,243.50
265.00,404.00,69.00,69.00,299.50,438.50
293.00,376.00,69.00,69.00,327.50,410.50
320.00,362.00,69.00,69.00,354.50,396.50
348.00,320.00,69.00,69.00,382.50,354.50
362.00,293.00,69.00,69.00,396.50,327.50
376.00,265.00,69.00,69.00,410.50,299.50
390.00,223.00,69.00,69.00,424.50,257.50
390.00,195.00,69.00,69.00,424.50,229.50
