82,-30
x,y,dx,dy,x_c,y_c
273.82,289.09,75.27,75.27,311.45,326.73
258.55,289.09,75.27,75.27,296.18,326.73
243.27,289.09,75.27,75.27,280.91,326.73
289.09,289.09,75.27,75.27,326.73,326.73
304.36,289.09,75.27,75.27,342.00,326.73
304.36,258.55,75.27,75.27,342.00,296.18
304.36,243.27,75.27,75.27,342.00,280.91
289.09,212.73,75.27,75.27,326.73,250.36
289.09,197.45,75.27,75.27,326.73,235.09
228.00,197.45,75.27,75.27,265.64,235.09
212.73,197.45,75.27,75.27,250.36,235.09
197.45,197.45,75.27,75.27,235.09,235.09
212.73,182.18,75.27,75.27,250.36,219.82
197.45,182.18,75.27,75.27,235.09,219.82
182.18,197.45,75.27,75.27,219.82,235.09
136.36,166.91,75.27,75.27,174.00,204.55
151.64,151.64,75.27,75.27,189.27,189.27
182.18,136.36,75.27,75.27,219.82,174.00
212.73,151.64,75.27,75.27,250.36,189.27
258.55,166.91,75.27,75.27,296.18,204.55
304.36,197.45,75.27,75.27,342.00,235.09
319.64,197.45,75.27,75.27,357.27,235.09
333.82,197.45,75.27,75.27,371.45,235.09
319.64,182.18,75.27,75.27,357.27,219.82
333.82,182.18,75.27,75.27,371.45,219.82
333.82,182.18,75.27,75.27,371.45,219.82
349.09,151.64,75.27,75.27,386.73,189.27
349.09,151.64,75.27,75.27,386.73,189.27
333.82,151.64,75.27,75.27,371.45,189.27
319.64,151.64,75.27,75.27,357.27,189.27
304.36,151.64,75.27,75.27,342.00,189.27
258.55,319.64,75.27,75.27,296.18,357.27
228.00,304.36,75.27,75.27,265.64,342.00
212.73,319.64,75.27,75.27,250.36,357.27
197.45,333.82,75.27,75.27,235.09,371.45
212.73,333.82,75.27,75.27,250.36,371.45
228.00,319.64,75.27,75.27,265.64,357.27
258.55,319.64,75.27,75.27,296.18,357.27
273.82,304.36,75.27,75.27,311.45,342.00
289.09,319.64,75.27,75.27,326.73,357.27
304.36,319.64,75.27,75.27,342.00,357.27
289.09,319.64,75.27,75.27,326.73,357.27
258.55,319.64,75.27,75.27,296.18,357.27
289.09,333.82,75.27,75.27,326.73,371.45
273.82,319.64,75.27,75.27,311.45,357.27
273.82,333.82,75.27,75.27,311.45,371.45
258.55,333.82,75.27,75.27,296.18,371.45
243.27,349.09,75.27,75.27,280.91,386.73
243.27,319.64,75.27,75.27,280.91,357.27
212.73,349.09,75.27,75.27,250.36,386.73
258.55,349.09,75.27,75.27,296.18,386.73
273.82,440.73,75.27,75.27,311.45,478.36
228.00,440.73,75.27,75.27,265.64,478.36
182.18,425.45,75.27,75.27,219.82,463.09
136.36,410.18,75.27,75.27,174.00,447.82
91.64,394.91,75.27,75.27,129.27,432.55
61.09,364.36,75.27,75.27,98.73,402.00
45.82,319.64,75.27,75.27,83.45,357.27
45.82,273.82,75.27,75.27,83.45,311.45
45.82,228.00,75.27,75.27,83.45,265.64
304.36,425.45,75.27,75.27,342.00,463.09
319.64,410.18,75.27,75.27,357.27,447.82
319.64,379.64,75.27,75.27,357.27,417.27
333.82,349.09,75.27,75.27,371.45,386.73
333.82,319.64,75.27,75.27,371.45,357.27
333.82,289.09,75.27,75.27,371.45,326.73
333.82,258.55,75.27,75.27,371.45,296.18
319.64,228.00,75.27,75.27,357.27,265.64
