72,0
x,y,dx,dy,x_c,y_c
274.05,304.62,75.34,75.34,311.71,342.28
258.76,304.62,75.34,75.34,296.43,342.28
243.48,304.62,75.34,75.34,281.14,342.28
289.33,289.33,75.34,75.34,327.00,327.00
289.33,289.33,75.34,75.34,327.00,327.00
274.05,274.05,75.34,75.34,311.71,311.71
274.05,243.48,75.34,75.34,311.71,281.14
274.05,212.90,75.34,75.34,311.71,250.57
274.05,197.62,75.34,75.34,311.71,235.29
228.19,197.62,75.34,75.34,265.86,235.29
212.90,197.62,75.34,75.34,250.57,235.29
197.62,197.62,75.34,75.34,235.29,235.29
212.90,182.33,75.34,75.34,250.57,220.00
197.62,182.33,75.34,75.34,235.29,220.00
182.33,197.62,75.34,75.34,220.00,235.29
151.76,167.05,75.34,75.34,189.43,204.72
167.05,151.76,75.34,75.34,204.72,189.43
197.62,151.76,75.34,75.34,235.29,189.43
228.19,167.05,75.34,75.34,265.86,204.72
243.48,167.05,75.34,75.34,281.14,204.72
319.90,197.62,75.34,75.34,357.57,235.29
334.10,197.62,75.34,75.34,371.76,235.29
349.38,197.62,75.34,75.34,387.05,235.29
334.10,197.62,75.34,75.34,371.76,235.29
334.10,197.62,75.34,75.34,371.76,235.29
349.38,197.62,75.34,75.34,387.05,235.29
379.95,167.05,75.34,75.34,417.62,204.72
364.67,151.76,75.34,75.34,402.33,189.43
349.38,151.76,75.34,75.34,387.05,189.43
334.10,151.76,75.34,75.34,371.76,189.43
304.62,167.05,75.34,75.34,342.28,204.72
274.05,319.90,75.34,75.34,311.71,357.57
258.76,319.90,75.34,75.34,296.43,357.57
243.48,334.10,75.34,75.34,281.14,371.76
228.19,349.38,75.34,75.34,265.86,387.05
228.19,349.38,75.34,75.34,265.86,387.05
258.76,334.10,75.34,75.34,296.43,371.76
274.05,334.10,75.34,75.34,311.71,371.76
289.33,304.62,75.34,75.34,327.00,342.28
304.62,319.90,75.34,75.34,342.28,357.57
304.62,334.10,75.34,75.34,342.28,371.76
304.62,334.10,75.34,75.34,342.28,371.76
289.33,334.10,75.34,75.34,327.00,371.76
289.33,349.38,75.34,75.34,327.00,387.05
274.05,334.10,75.34,75.34,311.71,371.76
274.05,349.38,75.34,75.34,311.71,387.05
243.48,334.10,75.34,75.34,281.14,371.76
212.90,349.38,75.34,75.34,250.57,387.05
212.90,319.90,75.34,75.34,250.57,357.57
197.62,334.10,75.34,75.34,235.29,371.76
243.48,349.38,75.34,75.34,281.14,387.05
258.76,410.52,75.34,75.34,296.43,448.19
228.19,395.24,75.34,75.34,265.86,432.91
197.62,364.67,75.34,75.34,235.29,402.33
167.05,319.90,75.34,75.34,204.72,357.57
151.76,304.62,75.34,75.34,189.43,342.28
136.48,274.05,75.34,75.34,174.14,311.71
121.19,243.48,75.34,75.34,158.86,281.14
107.00,197.62,75.34,75.34,144.67,235.29
107.00,151.76,75.34,75.34,144.67,189.43
289.33,395.24,75.34,75.34,327.00,432.91
319.90,364.67,75.34,75.34,357.57,402.33
334.10,334.10,75.34,75.34,371.76,371.76
349.38,289.33,75.34,75.34,387.05,327.00
364.67,243.48,75.34,75.34,402.33,281.14
379.95,197.62,75.34,75.34,417.62,235.29
395.24,151.76,75.34,75.34,432.91,189.43
379.95,107.00,75.34,75.34,417.62,144.67
