114,30
x,y,dx,dy,x_c,y_c
192.00,240.00,79.00,79.00,231.50,279.50
192.00,240.00,79.00,79.00,231.50,279.50
176.00,240.00,79.00,79.00,215.50,279.50
208.00,240.00,79.00,79.00,247.50,279.50
208.00,240.00,79.00,79.00,247.50,279.50
176.00,208.00,79.00,79.00,215.50,247.50
176.00,192.00,79.00,79.00,215.50,231.50
192.00,160.00,79.00,79.00,231.50,199.50
208.00,144.00,79.00,79.00,247.50,183.50
176.00,160.00,79.00,79.00,215.50,199.50
176.00,160.00,79.00,79.00,215.50,199.50
160.00,160.00,79.00,79.00,199.50,199.50
160.00,160.00,79.00,79.00,199.50,199.50
160.00,144.00,79.00,79.00,199.50,183.50
144.00,160.00,79.00,79.00,183.50,199.50
128.00,96.00,79.00,79.00,167.50,135.50
128.00,96.00,79.00,79.00,167.50,135.50
144.00,96.00,79.00,79.00,183.50,135.50
160.00,112.00,79.00,79.00,199.50,151.50
176.00,112.00,79.00,79.00,215.50,151.50
256.00,144.00,79.00,79.00,295.50,183.50
272.00,144.00,79.00,79.00,311.50,183.50
272.00,144.00,79.00,79.00,311.50,183.50
256.00,144.00,79.00,79.00,295.50,183.50
272.00,144.00,79.00,79.00,311.50,183.50
288.00,144.00,79.00,79.00,327.50,183.50
336.00,112.00,79.00,79.00,375.50,151.50
304.00,96.00,79.00,79.00,343.50,135.50
272.00,80.00,79.00,79.00,311.50,119.50
256.00,80.00,79.00,79.00,295.50,119.50
240.00,80.00,79.00,79.00,279.50,119.50
192.00,272.00,79.00,79.00,231.50,311.50
176.00,272.00,79.00,79.00,215.50,311.50
160.00,272.00,79.00,79.00,199.50,311.50
160.00,288.00,79.00,79.00,199.50,327.50
160.00,288.00,79.00,79.00,199.50,327.50
176.00,288.00,79.00,79.00,215.50,327.50
192.00,288.00,79.00,79.00,231.50,327.50
224.00,272.00,79.00,79.00,263.50,311.50
240.00,288.00,79.00,79.00,279.50,327.50
256.00,304.00,79.00,79.00,295.50,343.50
224.00,288.00,79.00,79.00,263.50,327.50
208.00,288.00,79.00,79.00,247.50,327.50
240.00,320.00,79.00,79.00,279.50,359.50
208.00,288.00,79.00,79.00,247.50,327.50
224.00,320.00,79.00,79.00,263.50,359.50
192.00,288.00,79.00,79.00,231.50,327.50
176.00,320.00,79.00,79.00,215.50,359.50
192.00,288.00,79.00,79.00,231.50,327.50
176.00,320.00,79.00,79.00,215.50,359.50
192.00,320.00,79.00,79.00,231.50,359.50
208.00,400.00,79.00,79.00,247.50,439.50
192.00,384.00,79.00,79.00,231.50,423.50
160.00,352.00,79.00,79.00,199.50,391.50
160.00,320.00,79.00,79.00,199.50,359.50
144.00,288.00,79.00,79.00,183.50,327.50
144.00,256.00,79.00,79.00,183.50,295.50
144.00,240.00,79.00,79.00,183.50,279.50
128.00,224.00,79.00,79.00,167.50,263.50
128.00,208.00,79.00,79.00,167.50,247.50
240.00,400.00,79.00,79.00,279.50,439.50
272.00,384.00,79.00,79.00,311.50,423.50
304.00,368.00,79.00,79.00,343.50,407.50
336.00,336.00,79.00,79.00,375.50,375.50
352.00,304.00,79.00,79.00,391.50,343.50
368.00,272.00,79.00,79.00,407.50,311.50
384.00,224.00,79.00,79.00,423.50,263.50
400.00,176.00,79.00,79.00,439.50,215.50
