105,0
x,y,dx,dy,x_c,y_c
273.82,319.64,75.27,75.27,311.45,357.27
273.82,319.64,75.27,75.27,311.45,357.27
258.55,319.64,75.27,75.27,296.18,357.27
289.09,319.64,75.27,75.27,326.73,357.27
289.09,319.64,75.27,75.27,326.73,357.27
273.82,289.09,75.27,75.27,311.45,326.73
273.82,258.55,75.27,75.27,311.45,296.18
273.82,228.00,75.27,75.27,311.45,265.64
273.82,212.73,75.27,75.27,311.45,250.36
228.00,212.73,75.27,75.27,265.64,250.36
212.73,212.73,75.27,75.27,250.36,250.36
197.45,212.73,75.27,75.27,235.09,250.36
212.73,212.73,75.27,75.27,250.36,250.36
197.45,212.73,75.27,75.27,235.09,250.36
182.18,212.73,75.27,75.27,219.82,250.36
151.64,182.18,75.27,75.27,189.27,219.82
166.91,166.91,75.27,75.27,204.55,204.55
182.18,151.64,75.27,75.27,219.82,189.27
197.45,166.91,75.27,75.27,235.09,204.55
212.73,166.91,75.27,75.27,250.36,204.55
319.64,212.73,75.27,75.27,357.27,250.36
333.82,212.73,75.27,75.27,371.45,250.36
333.82,212.73,75.27,75.27,371.45,250.36
319.64,197.45,75.27,75.27,357.27,235.09
333.82,197.45,75.27,75.27,371.45,235.09
333.82,197.45,75.27,75.27,371.45,235.09
364.36,166.91,75.27,75.27,402.00,204.55
364.36,151.64,75.27,75.27,402.00,189.27
349.09,136.36,75.27,75.27,386.73,174.00
333.82,136.36,75.27,75.27,371.45,174.00
304.36,151.64,75.27,75.27,342.00,189.27
273.82,333.82,75.27,75.27,311.45,371.45
258.55,333.82,75.27,75.27,296.18,371.45
243.27,349.09,75.27,75.27,280.91,386.73
228.00,364.36,75.27,75.27,265.64,402.00
228.00,364.36,75.27,75.27,265.64,402.00
258.55,349.09,75.27,75.27,296.18,386.73
273.82,349.09,75.27,75.27,311.45,386.73
289.09,333.82,75.27,75.27,326.73,371.45
304.36,333.82,75.27,75.27,342.00,371.45
319.64,333.82,75.27,75.27,357.27,371.45
319.64,349.09,75.27,75.27,357.27,386.73
304.36,349.09,75.27,75.27,342.00,386.73
319.64,364.36,75.27,75.27,357.27,402.00
304.36,349.09,75.27,75.27,342.00,386.73
304.36,379.64,75.27,75.27,342.00,417.27
273.82,364.36,75.27,75.27,311.45,402.00
243.27,379.64,75.27,75.27,280.91,417.27
243.27,349.09,75.27,75.27,280.91,386.73
228.00,364.36,75.27,75.27,265.64,402.00
273.82,379.64,75.27,75.27,311.45,417.27
273.82,440.73,75.27,75.27,311.45,478.36
243.27,425.45,75.27,75.27,280.91,463.09
212.73,410.18,75.27,75.27,250.36,447.82
182.18,379.64,75.27,75.27,219.82,417.27
151.64,349.09,75.27,75.27,189.27,386.73
136.36,319.64,75.27,75.27,174.00,357.27
121.09,289.09,75.27,75.27,158.73,326.73
106.91,243.27,75.27,75.27,144.55,280.91
106.91,212.73,75.27,75.27,144.55,250.36
289.09,425.45,75.27,75.27,326.73,463.09
319.64,394.91,75.27,75.27,357.27,432.55
333.82,379.64,75.27,75.27,371.45,417.27
349.09,333.82,75.27,75.27,386.73,371.45
364.36,304.36,75.27,75.27,402.00,342.00
364.36,273.82,75.27,75.27,402.00,311.45
379.64,228.00,75.27,75.27,417.27,265.64
379.64,182.18,75.27,75.27,417.27,219.82
