157,0
x,y,dx,dy,x_c,y_c
244.33,287.62,71.13,71.13,279.89,323.19
229.89,287.62,71.13,71.13,265.46,323.19
229.89,273.19,71.13,71.13,265.46,308.76
258.76,287.62,71.13,71.13,294.32,323.19
258.76,287.62,71.13,71.13,294.32,323.19
244.33,258.76,71.13,71.13,279.89,294.32
244.33,244.33,71.13,71.13,279.89,279.89
244.33,215.46,71.13,71.13,279.89,251.03
244.33,186.59,71.13,71.13,279.89,222.16
201.03,186.59,71.13,71.13,236.59,222.16
186.59,186.59,71.13,71.13,222.16,222.16
172.16,186.59,71.13,71.13,207.73,222.16
186.59,186.59,71.13,71.13,222.16,222.16
172.16,186.59,71.13,71.13,207.73,222.16
157.73,186.59,71.13,71.13,193.30,222.16
128.86,157.73,71.13,71.13,164.43,193.30
143.30,143.30,71.13,71.13,178.86,178.86
172.16,128.86,71.13,71.13,207.73,164.43
186.59,143.30,71.13,71.13,222.16,178.86
201.03,143.30,71.13,71.13,236.59,178.86
287.62,186.59,71.13,71.13,323.19,222.16
302.06,201.03,71.13,71.13,337.62,236.59
302.06,201.03,71.13,71.13,337.62,236.59
287.62,186.59,71.13,71.13,323.19,222.16
302.06,186.59,71.13,71.13,337.62,222.16
315.46,186.59,71.13,71.13,351.02,222.16
344.32,157.73,71.13,71.13,379.89,193.30
329.89,143.30,71.13,71.13,365.46,178.86
302.06,128.86,71.13,71.13,337.62,164.43
287.62,128.86,71.13,71.13,323.19,164.43
258.76,143.30,71.13,71.13,294.32,178.86
244.33,302.06,71.13,71.13,279.89,337.62
229.89,302.06,71.13,71.13,265.46,337.62
201.03,315.46,71.13,71.13,236.59,351.02
186.59,329.89,71.13,71.13,222.16,365.46
201.03,329.89,71.13,71.13,236.59,365.46
229.89,315.46,71.13,71.13,265.46,351.02
244.33,315.46,71.13,71.13,279.89,351.02
258.76,302.06,71.13,71.13,294.32,337.62
273.19,315.46,71.13,71.13,308.76,351.02
287.62,329.89,71.13,71.13,323.19,365.46
273.19,329.89,71.13,71.13,308.76,365.46
258.76,315.46,71.13,71.13,294.32,351.02
273.19,358.76,71.13,71.13,308.76,394.32
258.76,344.32,71.13,71.13,294.32,379.89
258.76,373.19,71.13,71.13,294.32,408.76
229.89,358.76,71.13,71.13,265.46,394.32
201.03,373.19,71.13,71.13,236.59,408.76
201.03,344.32,71.13,71.13,236.59,379.89
186.59,344.32,71.13,71.13,222.16,379.89
229.89,373.19,71.13,71.13,265.46,408.76
229.89,445.35,71.13,71.13,265.46,480.92
201.03,445.35,71.13,71.13,236.59,480.92
172.16,430.92,71.13,71.13,207.73,466.49
143.30,416.49,71.13,71.13,178.86,452.05
128.86,387.62,71.13,71.13,164.43,423.19
114.43,358.76,71.13,71.13,150.00,394.32
114.43,329.89,71.13,71.13,150.00,365.46
114.43,287.62,71.13,71.13,150.00,323.19
114.43,258.76,71.13,71.13,150.00,294.32
258.76,430.92,71.13,71.13,294.32,466.49
287.62,416.49,71.13,71.13,323.19,452.05
315.46,402.05,71.13,71.13,351.02,437.62
329.89,373.19,71.13,71.13,365.46,408.76
344.32,344.32,71.13,71.13,379.89,379.89
344.32,302.06,71.13,71.13,379.89,337.62
344.32,258.76,71.13,71.13,379.89,294.32
344.32,229.89,71.13,71.13,379.89,265.46
