95,0
x,y,dx,dy,x_c,y_c
289.09,304.36,75.27,75.27,326.73,342.00
273.82,304.36,75.27,75.27,311.45,342.00
258.55,304.36,75.27,75.27,296.18,342.00
304.36,304.36,75.27,75.27,342.00,342.00
319.64,304.36,75.27,75.27,357.27,342.00
289.09,273.82,75.27,75.27,326.73,311.45
289.09,243.27,75.27,75.27,326.73,280.91
289.09,212.73,75.27,75.27,326.73,250.36
289.09,197.45,75.27,75.27,326.73,235.09
243.27,197.45,75.27,75.27,280.91,235.09
228.00,197.45,75.27,75.27,265.64,235.09
228.00,197.45,75.27,75.27,265.64,235.09
228.00,182.18,75.27,75.27,265.64,219.82
228.00,182.18,75.27,75.27,265.64,219.82
212.73,182.18,75.27,75.27,250.36,219.82
166.91,151.64,75.27,75.27,204.55,189.27
182.18,136.36,75.27,75.27,219.82,174.00
212.73,121.09,75.27,75.27,250.36,158.73
243.27,136.36,75.27,75.27,280.91,174.00
258.55,151.64,75.27,75.27,296.18,189.27
319.64,212.73,75.27,75.27,357.27,250.36
333.82,228.00,75.27,75.27,371.45,265.64
349.09,228.00,75.27,75.27,386.73,265.64
333.82,212.73,75.27,75.27,371.45,250.36
333.82,212.73,75.27,75.27,371.45,250.36
349.09,212.73,75.27,75.27,386.73,250.36
379.64,182.18,75.27,75.27,417.27,219.82
364.36,166.91,75.27,75.27,402.00,204.55
349.09,166.91,75.27,75.27,386.73,204.55
333.82,166.91,75.27,75.27,371.45,204.55
304.36,166.91,75.27,75.27,342.00,204.55
273.82,319.64,75.27,75.27,311.45,357.27
243.27,319.64,75.27,75.27,280.91,357.27
228.00,333.82,75.27,75.27,265.64,371.45
212.73,349.09,75.27,75.27,250.36,386.73
228.00,364.36,75.27,75.27,265.64,402.00
243.27,333.82,75.27,75.27,280.91,371.45
273.82,333.82,75.27,75.27,311.45,371.45
289.09,319.64,75.27,75.27,326.73,357.27
304.36,333.82,75.27,75.27,342.00,371.45
304.36,333.82,75.27,75.27,342.00,371.45
304.36,333.82,75.27,75.27,342.00,371.45
289.09,333.82,75.27,75.27,326.73,371.45
289.09,364.36,75.27,75.27,326.73,402.00
273.82,349.09,75.27,75.27,311.45,386.73
273.82,379.64,75.27,75.27,311.45,417.27
243.27,364.36,75.27,75.27,280.91,402.00
228.00,379.64,75.27,75.27,265.64,417.27
228.00,349.09,75.27,75.27,265.64,386.73
212.73,364.36,75.27,75.27,250.36,402.00
243.27,379.64,75.27,75.27,280.91,417.27
243.27,456.00,75.27,75.27,280.91,493.64
212.73,440.73,75.27,75.27,250.36,478.36
182.18,410.18,75.27,75.27,219.82,447.82
151.64,379.64,75.27,75.27,189.27,417.27
121.09,364.36,75.27,75.27,158.73,402.00
106.91,319.64,75.27,75.27,144.55,357.27
106.91,289.09,75.27,75.27,144.55,326.73
91.64,228.00,75.27,75.27,129.27,265.64
91.64,182.18,75.27,75.27,129.27,219.82
258.55,440.73,75.27,75.27,296.18,478.36
289.09,394.91,75.27,75.27,326.73,432.55
304.36,364.36,75.27,75.27,342.00,402.00
319.64,319.64,75.27,75.27,357.27,357.27
333.82,289.09,75.27,75.27,371.45,326.73
349.09,243.27,75.27,75.27,386.73,280.91
379.64,197.45,75.27,75.27,417.27,235.09
379.64,151.64,75.27,75.27,417.27,189.27
