113,0
x,y,dx,dy,x_c,y_c
237.00,279.00,69.00,69.00,271.50,313.50
223.00,279.00,69.00,69.00,257.50,313.50
209.00,279.00,69.00,69.00,243.50,313.50
251.00,279.00,69.00,69.00,285.50,313.50
265.00,279.00,69.00,69.00,299.50,313.50
237.00,251.00,69.00,69.00,271.50,285.50
237.00,223.00,69.00,69.00,271.50,257.50
237.00,195.00,69.00,69.00,271.50,229.50
237.00,181.00,69.00,69.00,271.50,215.50
195.00,181.00,69.00,69.00,229.50,215.50
181.00,181.00,69.00,69.00,215.50,215.50
167.00,181.00,69.00,69.00,201.50,215.50
181.00,181.00,69.00,69.00,215.50,215.50
167.00,181.00,69.00,69.00,201.50,215.50
153.00,181.00,69.00,69.00,187.50,215.50
125.00,167.00,69.00,69.00,159.50,201.50
139.00,153.00,69.00,69.00,173.50,187.50
167.00,139.00,69.00,69.00,201.50,173.50
195.00,139.00,69.00,69.00,229.50,173.50
209.00,153.00,69.00,69.00,243.50,187.50
279.00,181.00,69.00,69.00,313.50,215.50
293.00,181.00,69.00,69.00,327.50,215.50
306.00,181.00,69.00,69.00,340.50,215.50
293.00,181.00,69.00,69.00,327.50,215.50
293.00,181.00,69.00,69.00,327.50,215.50
306.00,181.00,69.00,69.00,340.50,215.50
334.00,153.00,69.00,69.00,368.50,187.50
320.00,139.00,69.00,69.00,354.50,173.50
293.00,139.00,69.00,69.00,327.50,173.50
279.00,139.00,69.00,69.00,313.50,173.50
251.00,153.00,69.00,69.00,285.50,187.50
237.00,293.00,69.00,69.00,271.50,327.50
223.00,293.00,69.00,69.00,257.50,327.50
195.00,293.00,69.00,69.00,229.50,327.50
181.00,306.00,69.00,69.00,215.50,340.50
195.00,306.00,69.00,69.00,229.50,340.50
209.00,293.00,69.00,69.00,243.50,327.50
237.00,306.00,69.00,69.00,271.50,340.50
265.00,293.00,69.00,69.00,299.50,327.50
279.00,306.00,69.00,69.00,313.50,340.50
293.00,320.00,69.00,69.00,327.50,354.50
279.00,306.00,69.00,69.00,313.50,340.50
265.00,306.00,69.00,69.00,299.50,340.50
279.00,348.00,69.00,69.00,313.50,382.50
265.00,334.00,69.00,69.00,299.50,368.50
265.00,348.00,69.00,69.00,299.50,382.50
237.00,334.00,69.00,69.00,271.50,368.50
209.00,348.00,69.00,69.00,243.50,382.50
209.00,334.00,69.00,69.00,243.50,368.50
195.00,334.00,69.00,69.00,229.50,368.50
237.00,348.00,69.00,69.00,271.50,382.50
237.00,404.00,69.00,69.00,271.50,438.50
209.00,390.00,69.00,69.00,243.50,424.50
181.00,362.00,69.00,69.00,215.50,396.50
153.00,334.00,69.00,69.00,187.50,368.50
125.00,320.00,69.00,69.00,159.50,354.50
111.00,293.00,69.00,69.00,145.50,327.50
111.00,265.00,69.00,69.00,145.50,299.50
111.00,223.00,69.00,69.00,145.50,257.50
111.00,195.00,69.00,69.00,145.50,229.50
265.00,390.00,69.00,69.00,299.50,424.50
293.00,362.00,69.00,69.00,327.50,396.50
306.00,348.00,69.00,69.00,340.50,382.50
320.00,320.00,69.00,69.00,354.50,354.50
334.00,293.00,69.00,69.00,368.50,327.50
348.00,265.00,69.00,69.00,382.50,299.50
362.00,223.00,69.00,69.00,396.50,257.50
362.00,195.00,69.00,69.00,396.50,229.50
