156,0
x,y,dx,dy,x_c,y_c
261.82,314.18,86.18,86.18,304.91,357.27
244.36,314.18,86.18,86.18,287.45,357.27
244.36,296.73,86.18,86.18,287.45,339.82
279.27,296.73,86.18,86.18,322.36,339.82
296.73,296.73,86.18,86.18,339.82,339.82
261.82,279.27,86.18,86.18,304.91,322.36
261.82,244.36,86.18,86.18,304.91,287.45
261.82,209.45,86.18,86.18,304.91,252.55
261.82,192.00,86.18,86.18,304.91,235.09
209.45,192.00,86.18,86.18,252.55,235.09
209.45,192.00,86.18,86.18,252.55,235.09
209.45,209.45,86.18,86.18,252.55,252.55
192.00,192.00,86.18,86.18,235.09,235.09
192.00,192.00,86.18,86.18,235.09,235.09
174.55,209.45,86.18,86.18,217.64,252.55
122.18,174.55,86.18,86.18,165.27,217.64
139.64,157.09,86.18,86.18,182.73,200.18
174.55,139.64,86.18,86.18,217.64,182.73
209.45,157.09,86.18,86.18,252.55,200.18
244.36,174.55,86.18,86.18,287.45,217.64
296.73,192.00,86.18,86.18,339.82,235.09
314.18,192.00,86.18,86.18,357.27,235.09
331.64,192.00,86.18,86.18,374.73,235.09
314.18,192.00,86.18,86.18,357.27,235.09
331.64,192.00,86.18,86.18,374.73,235.09
349.09,192.00,86.18,86.18,392.18,235.09
384.00,157.09,86.18,86.18,427.09,200.18
366.55,157.09,86.18,86.18,409.64,200.18
331.64,157.09,86.18,86.18,374.73,200.18
314.18,157.09,86.18,86.18,357.27,200.18
279.27,157.09,86.18,86.18,322.36,200.18
261.82,331.64,86.18,86.18,304.91,374.73
244.36,331.64,86.18,86.18,287.45,374.73
226.91,331.64,86.18,86.18,270.00,374.73
209.45,366.55,86.18,86.18,252.55,409.64
226.91,349.09,86.18,86.18,270.00,392.18
244.36,349.09,86.18,86.18,287.45,392.18
261.82,349.09,86.18,86.18,304.91,392.18
279.27,314.18,86.18,86.18,322.36,357.27
296.73,331.64,86.18,86.18,339.82,374.73
314.18,349.09,86.18,86.18,357.27,392.18
296.73,349.09,86.18,86.18,339.82,392.18
279.27,331.64,86.18,86.18,322.36,374.73
314.18,366.55,86.18,86.18,357.27,409.64
296.73,349.09,86.18,86.18,339.82,392.18
296.73,366.55,86.18,86.18,339.82,409.64
261.82,349.09,86.18,86.18,304.91,392.18
244.36,366.55,86.18,86.18,287.45,409.64
244.36,349.09,86.18,86.18,287.45,392.18
226.91,366.55,86.18,86.18,270.00,409.64
261.82,366.55,86.18,86.18,304.91,409.64
279.27,453.82,86.18,86.18,322.36,496.91
226.91,436.36,86.18,86.18,270.00,479.45
192.00,401.45,86.18,86.18,235.09,444.55
157.09,366.55,86.18,86.18,200.18,409.64
139.64,331.64,86.18,86.18,182.73,374.73
122.18,279.27,86.18,86.18,165.27,322.36
122.18,244.36,86.18,86.18,165.27,287.45
104.73,192.00,86.18,86.18,147.82,235.09
104.73,157.09,86.18,86.18,147.82,200.18
296.73,436.36,86.18,86.18,339.82,479.45
331.64,401.45,86.18,86.18,374.73,444.55
366.55,366.55,86.18,86.18,409.64,409.64
384.00,314.18,86.18,86.18,427.09,357.27
384.00,279.27,86.18,86.18,427.09,322.36
401.45,244.36,86.18,86.18,444.55,287.45
418.91,192.00,86.18,86.18,462.00,235.09
418.91,139.64,86.18,86.18,462.00,182.73
